x,y_ref_real,y_ref_imag,y_ref_abs
14085,99.922,-25.443,103.11
14086,100.02,-25.426,103.2
14087,100.11,-25.41,103.29
14088,100.21,-25.396,103.38
14089,100.32,-25.383,103.48
14090,100.42,-25.372,103.57
14091,100.52,-25.363,103.67
14092,100.63,-25.356,103.78
14093,100.74,-25.35,103.88
14094,100.85,-25.347,103.99
14095,100.97,-25.346,104.1
14096,101.08,-25.348,104.21
14097,101.2,-25.352,104.33
14098,101.32,-25.359,104.44
14099,101.44,-25.368,104.56
14100,101.56,-25.381,104.69
14101,101.69,-25.396,104.81
14102,101.82,-25.415,104.94
14103,101.94,-25.438,105.07
14104,102.07,-25.464,105.2
14105,102.21,-25.494,105.34
14106,102.34,-25.527,105.48
14107,102.47,-25.565,105.61
14108,102.61,-25.607,105.76
14109,102.75,-25.654,105.9
14110,102.88,-25.705,106.05
14111,103.02,-25.761,106.19
14112,103.16,-25.822,106.34
14113,103.3,-25.888,106.5
14114,103.44,-25.959,106.65
14115,103.58,-26.036,106.8
14116,103.72,-26.118,106.96
14117,103.86,-26.205,107.11
14118,103.99,-26.298,107.27
14119,104.13,-26.397,107.42
14120,104.26,-26.502,107.58
14121,104.4,-26.613,107.74
14122,104.53,-26.729,107.89
14123,104.65,-26.852,108.04
14124,104.78,-26.98,108.2
14125,104.9,-27.114,108.35
14125,104.9,-27.114,108.35
14126,105.02,-27.254,108.5
14127,105.13,-27.399,108.64
14128,105.24,-27.55,108.79
14129,105.34,-27.706,108.93
14130,105.44,-27.867,109.06
14131,105.54,-28.033,109.2
14132,105.63,-28.204,109.33
14133,105.71,-28.379,109.45
14134,105.78,-28.557,109.57
14135,105.85,-28.74,109.68
14136,105.91,-28.926,109.79
14137,105.97,-29.114,109.89
14138,106.01,-29.305,109.99
14139,106.05,-29.498,110.08
14140,106.08,-29.693,110.16
14141,106.1,-29.888,110.23
14142,106.12,-30.084,110.3
14143,106.13,-30.28,110.36
14144,106.13,-30.476,110.42
14145,106.12,-30.671,110.46
14146,106.1,-30.865,110.5
14147,106.08,-31.057,110.53
14148,106.05,-31.246,110.55
14149,106.01,-31.433,110.57
14150,105.96,-31.617,110.58
14151,105.91,-31.798,110.58
14152,105.85,-31.975,110.57
14153,105.78,-32.147,110.56
14154,105.71,-32.315,110.54
14155,105.63,-32.479,110.51
14156,105.55,-32.637,110.48
14157,105.46,-32.791,110.44
14158,105.37,-32.939,110.4
14159,105.28,-33.082,110.35
14160,105.18,-33.219,110.3
14161,105.07,-33.35,110.24
14162,104.97,-33.476,110.17
14163,104.86,-33.596,110.11
14164,104.75,-33.71,110.04
14165,104.63,-33.819,109.96
14166,104.52,-33.921,109.88
14167,104.4,-34.018,109.8
14168,104.28,-34.11,109.72
14169,104.17,-34.196,109.64
14170,104.05,-34.277,109.55
14171,103.93,-34.352,109.46
14172,103.81,-34.422,109.37
14173,103.69,-34.487,109.28
14174,103.57,-34.548,109.18
14175,103.46,-34.604,109.09
14176,103.34,-34.655,109
14177,103.22,-34.702,108.9
14178,103.11,-34.744,108.81
14179,103,-34.783,108.71
14180,102.88,-34.818,108.62
14181,102.77,-34.849,108.52
14182,102.67,-34.876,108.43
14183,102.56,-34.9,108.33
14184,102.45,-34.921,108.24
14185,102.35,-34.939,108.15
14186,102.25,-34.954,108.06
14187,102.15,-34.966,107.97
14188,102.05,-34.976,107.88
14189,101.95,-34.983,107.79
14190,101.86,-34.988,107.7
14191,101.77,-34.99,107.62
14192,101.68,-34.991,107.53
14193,101.59,-34.989,107.45
14194,101.51,-34.986,107.37
14195,101.42,-34.981,107.28
14196,101.34,-34.974,107.21
14197,101.26,-34.966,107.13
14198,101.18,-34.957,107.05
14199,101.11,-34.946,106.97
14200,101.03,-34.934,106.9
14200,101.03,-34.934,106.9
14201,100.96,-34.921,106.83
14202,100.89,-34.906,106.76
14203,100.82,-34.891,106.69
14204,100.75,-34.875,106.62
14205,100.69,-34.858,106.55
14206,100.63,-34.84,106.49
14207,100.57,-34.822,106.42
14208,100.51,-34.803,106.36
14209,100.45,-34.783,106.3
14210,100.39,-34.763,106.24
14211,100.34,-34.742,106.18
14212,100.28,-34.721,106.12
14213,100.23,-34.699,106.07
14214,100.18,-34.677,106.01
