N, RMSE, Max
4,3.4279,10.385
6,4.251,10.838
8,4.3848,11.207
10,4.4278,11.368
12,4.4517,11.483
14,4.468,11.519
16,4.4806,11.574
18,4.491,11.648
20,4.5005,11.68
22,4.509,11.681
24,4.517,11.662
26,4.4894,11.629
28,4.5319,11.589
30,4.5352,11.544
