AptDet,DETReg,Steps
0.1920890425013,0.0353484258915,1
1.801121187206,0.1021534879783,2
3.2023490968667,0.1886272239605,3
4.7138454367326,0.3147731071762,4
6.4340978224078,0.5935762110213,5
7.6318306391146,0.731232210289,6
8.5039748485175,0.9903570222946,7
9.2958059573419,1.1279769717206,8
9.7386563854093,1.5842163838232,9
9.7180829643465,1.6967280967414,10
9.8226197732569,1.9498029280499,11
10.1182475185163,2.1896620643606,12
10.8570314901879,2.5472628636724,13
10.9733756651913,2.5790086717069,14
10.9429720478516,2.804881044096,15
11.796081389111,2.8630741123975,16
11.7778475829009,2.9881058488299,17
11.6020562180043,3.1814322350119,18
12.4019487425661,3.7571190465963,19
12.4490922687201,3.4960319709469,20
12.7571319750018,3.5551245059577,21
12.4256022267191,3.6587064160231,22
12.4762063783886,3.6388316525225,23
12.7612677293361,4.0407564294289,24
12.9037303741167,4.1778844637256,25
12.6385731535226,4.014516706763,26
12.932419450933,4.5025975241416,27
12.5394363892919,4.5076653603497,28
12.6543954341519,4.6491714349763,29
12.639714857539,4.8143816273747,30
12.5013961873655,4.8678225398076,31
12.7337352423717,4.9716998286695,32
13.3128351628823,5.0817475794515,33
13.1486236562884,5.0638503561843,34
13.2306961135062,5.024267981759,35
13.2687234401577,5.3686185994393,36
13.095440036952,5.2332412662854,37
13.6661503190435,5.3302138569766,38
12.827468577598,5.3763739913944,39
13.1414380586402,5.4355194836083,40
13.186039965107,5.5171130841359,41
13.1880306785571,5.4508648171663,42
13.4232647116463,5.4889909860615,43
12.9278016699037,5.8234052538811,44
13.3008046282653,5.4951279393405,45
13.0403865013343,5.5019684041616,46
13.20347125242,6.0032332819229,47
12.708466770685,5.5024784744499,48
13.4669925423467,5.4789323697704,49
13.3381788296171,5.8365363571402,50
13.5499531158251,5.875638258385,51
13.6692255197432,5.9835781101378,52
13.7193175146665,6.0202239863474,53
13.1813715907631,5.9510978168413,54
12.5846213094544,5.9804426306876,55
12.8657868314539,6.0961348610191,56
12.674347941328,6.1380400613678,57
13.1146770745616,6.3042742852726,58
13.1382321368884,6.1288810390401,59
13.2157914910036,6.1478797591706,60
12.9238037616227,6.3030904234615,61
12.9467290432553,6.0913579581605,62
12.6974928060693,6.4129794413016,63
13.0636137659441,6.0778055606542,64
13.0460786413862,6.4209778859321,65
13.6586671135752,6.1889994017259,66
13.259412000054,6.2799712717367,67
12.911400059254,6.3574533114942,68
13.33132808444,6.6302620057549,69
13.0463577902848,6.5269386837453,70
13.1868835269038,6.6257568332778,71
13.3518381419034,6.7998022947439,72
12.8379987370873,6.8593317397359,73
12.98429093414,6.7622219063917,74
13.1527083760167,6.8382612912655,75
13.0978229484574,6.3589933140032,76
13.4519574172429,6.6836277284809,77
13.1474965709853,6.9440357672751,78
12.9113223367257,6.9419886220321,79
12.9775457195163,6.6795192481981,80
12.9312880173481,7.0841295941352,81
13.4343479412594,6.9983185374126,82
13.1337877005363,6.9844275902155,83
13.7271764256739,6.8852172970033,84
12.8134612654673,6.843993655615,85
12.9858428437167,6.9803232594586,86
12.641021010233,7.0417859016062,87
12.9608757659482,7.0559598897014,88
13.0425450437522,6.8329436674718,89
12.8098901865918,7.2945694872179,90
12.1015339144039,6.8883178698251,91
12.871566950756,7.2343704382445,92
13.1220582745767,7.1479542822392,93
13.0830413184304,7.282011506787,94
12.9364726444943,7.24424558958,95
12.5832033732826,7.5875351185761,96
12.8005986311975,7.2929633274153,97
13.3441763824198,7.1171823630546,98
12.3518290606397,7.3602838081357,99
12.6507898907799,7.3813955657891,100
12.7635118777616,7.2090319604168,101
12.672958962027,7.0154263324832,102
12.505624712873,7.0590361690341,103
12.4499666145184,7.5851517583457,104
11.9477663836274,7.2454524457127,105
12.2994605927797,7.6363858194481,106
12.0641206379269,7.3488038079267,107
12.4444105617348,7.1333141799415,108
12.7032663897989,7.2434026331251,109
12.5037605775761,7.0930655077615,110
13.1228209370027,7.6974363113413,111
12.3958506890551,7.2499615079468,112
12.1881359831259,7.43191387155,113
12.5689629599498,7.5093200738837,114
12.6654248781316,7.0308823058798,115
12.6690762776459,7.2645763112295,116
12.1517900947125,7.6770529478361,117
12.8160713790591,7.4138521242831,118
12.4134839702007,7.3524262896574,119
12.5873647379096,7.9903992231707,120
12.3815931107407,7.6647909868486,121
12.9235079234177,7.6120168478704,122
12.8762045735909,7.5607892504045,123
12.5947297090614,7.4021358312521,124
11.8425799980489,7.464670949067,125
12.2288659841039,7.4656192398057,126
12.6560471083033,7.5409472038252,127
13.2351873395322,7.4010670428364,128
12.3899860071177,7.7826605177591,129
12.22726218783,7.8911298551849,130
12.2251318668718,7.6511317634785,131
12.4290408694968,7.5509999926209,132
12.2959701128296,7.5242748365072,133
12.1723352892688,7.3317315808742,134
12.8122243879058,7.3683989268818,135
12.3494271302838,7.71309451611,136
12.6798972844496,7.6287719941184,137
12.4628275869429,7.9570574557136,138
12.2975006003725,7.6983146906997,139
11.8516125053866,7.7326429817493,140
12.6677746714995,7.6792330777807,141
12.4165086942254,7.6862272771217,142
12.4594116069908,7.5768429329213,143
12.6357922519949,7.7408577642317,144
12.3674817486092,8.0486215428756,145
12.2235110077415,7.3711197817375,146
12.2070142544483,7.7557333260165,147
12.792509173154,7.6718819357025,148
12.3176250499664,8.216721184827,149
11.8276551916002,7.8920928943065,150
12.5797011262688,8.2772766229566,151
12.2490078243358,7.9076931536837,152
12.4610276880851,8.0436254380855,153
12.5726096144495,8.1893234535923,154
11.9824273673026,7.9538210178984,155
12.2966409242543,7.9720276661365,156
