t4 p4 v4 u4 t1 p1 v1 u1 t2 p2 v2 u2 t3 p3 v3 u3 tr pr vr 
2.4895333887 105.3529180411 50.9599589353 100.0011757578 1.7552653833 80.3057231527 55.2560007915 43.7228509642 1.7599059106 76.6027883837 59.0504083962 103.6037878201 1.7816021474 68.2323754325 52.0973090408 58.9060945118 1.7587939698 65.9102981344 52.3598775598 
2.5031049212 106.0386820106 50.0678197935 89.7551696748 1.8066006977 83.2938200285 59.8719562739 99.5769055822 1.8094013754 79.3833836210 53.2822462322 46.8509936790 1.8314270404 70.9826786778 55.7098472510 102.8366690344 1.8090452261 68.5414477605 52.3598775598 
2.5645888626 109.1703193277 50.3653925117 100.5499057600 1.8558369846 86.0988104454 54.6945244913 40.6867645294 1.8594932482 82.1385494580 58.4476922484 94.1061440192 1.8806375660 73.5973719750 51.3144423950 46.6539305252 1.8592964824 71.1725973866 52.3598775598 
2.5853180819 110.2189718500 50.8787736571 97.9370872925 1.9069612649 89.0150102574 59.7877349115 101.7031444745 1.9095080100 85.0424853360 55.3161252916 57.6001179633 1.9309789596 76.3011779762 56.6750958885 104.9678279645 1.9095477387 73.8037470127 52.3598775598 
2.5975281695 110.8384240830 50.3879949113 95.0461057390 1.9564696703 91.8715733872 54.8063746237 45.3493350290 1.9596730633 87.7872302332 56.7268627235 76.6935194314 1.9774223246 78.9077969250 55.9508250900 52.2460474549 1.9597989950 76.4348966388 52.3598775598 
2.6071652715 111.3251361893 50.6766798280 97.3270573009 2.0073468456 94.7150413147 58.8413664425 93.6212079696 2.0102581764 90.7196301135 55.9960097845 76.1049790977 2.0239964728 81.4446493883 55.7881097195 75.3784725107 2.0100502513 79.0660462650 52.3598775598 
2.6174562762 111.8458881345 50.7599964596 96.7788339015 2.0573401429 97.6286566085 55.5425807915 57.1085244848 2.0587754975 93.2898446191 52.0130419967 57.7717538690 2.0703648035 84.0957537421 56.1995121964 87.5396435101 2.0603015075 81.6971958911 52.3598775598 
2.6309019380 112.5301570139 50.6141269776 94.5388363613 2.1076937175 100.4000821324 57.1900803288 77.2288092511 2.1101566105 96.1050633820 56.5852922959 101.4923612237 2.1212245594 86.7856276485 51.6858757280 52.9402634574 2.1105527638 84.3283455172 52.3598775598 
2.6966789733 115.9118520017 51.1506490217 97.6099667563 2.1580853188 103.3451790800 56.6502842579 72.9751808899 2.1600050705 98.8177380480 52.8852550833 44.6626108155 2.1728505312 89.5728835811 55.7497364312 106.6518188275 2.1608040201 86.9594951433 52.3598775598 
2.7112451794 116.6540962808 50.9984716505 93.2746622237 2.2078476427 106.0688166523 55.3892237518 59.0500642413 2.2108875743 101.6311466509 57.8546519877 104.4596571728 2.2255486742 92.3452475384 49.6700684980 50.3555945896 2.2110552764 89.5906447695 52.3598775598 
2.7265054207 117.4348342941 50.9658061993 90.7568280663 2.2589103267 109.0297178221 57.8881373257 90.1191578508 2.2605493887 104.4019170628 52.8118033093 49.1563702813 2.2769865143 95.0087288717 54.4215767403 105.8005117515 2.2613065327 92.2217943956 52.3598775598 
2.7405039895 118.1501239852 50.8242089159 87.9650179355 2.3082592582 111.7473433946 54.0377858739 46.0898679800 2.3116479438 107.1250044459 55.2711892457 94.3832565092 2.3274466447 97.6932722895 51.1783255646 63.3176074612 2.3115577889 94.8529440217 52.3598775598 
2.7538357745 118.8317705534 51.9420767922 100.0431354533 2.3595220833 114.6671090613 58.7164230515 102.2449711889 2.3623011813 109.8648711760 51.1134098914 76.1247659477 2.3774084207 100.1734131915 52.5774951659 75.8864111446 2.3618090452 97.4840936478 52.3598775598 
2.8338213033 122.9978755421 51.2749878860 80.9143892707 2.4087821980 117.4214801015 53.5549931624 43.1957389540 2.4125217052 112.4034790436 52.6575175871 64.2555493462 2.4245439369 102.6821732733 51.9405026212 102.9922842797 2.4120603015 100.1152432739 52.3598775598 
2.8465319226 123.6470706342 50.7747543035 -100.5399240635 2.4599236526 120.2658907683 58.4979283762 101.9743188801 2.4636010614 115.2657272525 56.5573151010 94.1647772715 2.4783671969 105.3385906783 47.2315019383 55.5822921646 2.4623115578 102.7463929001 52.3598775598 
2.8580606266 124.2362116531 51.2257255354 76.3479240507 2.5096149504 123.0925469651 54.0264350897 51.3057367038 2.5134472866 117.9502430083 52.7619014911 47.6951973067 2.5291499145 107.8485647838 51.5905117602 113.5045288327 2.5125628141 105.3775425262 52.3598775598 
2.9598383013 129.6117335143 50.7312280946 52.1939837045 2.5602697347 125.8498052740 57.0944591029 87.7992168982 2.5646714529 120.7955658896 57.6692886519 105.0270652693 2.5781366434 110.3258199737 47.8769482853 67.5095416026 2.5628140704 108.0086921523 52.3598775598 
3.1346358558 138.9560082726 56.5708534676 102.4363464725 2.6104898444 128.7367741974 55.2280977606 67.7413354450 2.6139207464 123.5155448443 52.6526385046 45.2588407345 2.6300048109 112.7919492551 49.8570006358 81.4518862592 2.6130653266 110.6398417784 52.3598775598 
3.4347727908 155.1000260824 49.6370324115 57.1020546623 2.6603587581 131.4212541442 55.0925401807 66.6488285380 2.6648061561 126.2842070953 57.3057201396 99.4018102240 2.6839506640 115.5790029559 51.7735617416 93.6075872612 2.6633165829 113.2709914046 52.3598775598 
3.5127206874 159.1593967336 53.0220208143 102.8513363081 2.7112710416 134.3399165082 56.6948019103 87.0278916170 2.7146241152 129.1038156473 53.9848715076 57.8507864232 2.7438705849 118.5150704426 48.8315440243 64.9397704937 2.7135678392 115.9021410307 52.3598775598 
3.5571476955 161.4189294354 50.0811808810 73.2347306946 2.7607017196 137.0128127145 53.4296534340 49.4992391202 2.7650301971 131.8094442693 55.8757132076 78.6494562458 2.7941720546 121.1160241684 53.1248298196 109.4566162848 2.7638190955 118.5332906568 52.3598775598 
3.5696284400 162.0429255048 49.9038964965 74.3618235396 2.8119389510 139.9005458752 57.8485350886 102.4192450866 2.8157358593 134.7141091070 55.6805292014 76.4056932787 2.8431008078 123.6046761495 48.8472490884 51.6332747789 2.8140703518 121.1644402829 52.3598775598 
3.5997768132 163.5594570257 51.3431530276 96.0849288688 2.8611946481 142.6106649364 52.7982518640 44.3732527273 2.8655705607 137.3892120415 54.0766161065 58.4627695903 2.8898880136 126.0131144445 54.0099990470 97.2836876199 2.8643216080 123.7955899090 52.3598775598 
3.6645707038 166.8973912352 50.1210780633 90.0597851847 2.9123514616 145.4206957888 57.7721652976 103.2786852024 2.9171088177 140.2983359820 56.1718373126 96.9917646621 2.9331904682 128.3783366297 53.1334933597 83.5300615024 2.9145728643 126.4267395352 52.3598775598 
3.6778662333 167.5685154522 50.3843697036 93.4498329429 2.9620416248 148.2118822165 53.3491067471 52.9391058930 2.9659719231 142.8975475997 51.8841636729 46.3471366022 2.9822492683 130.8957372260 51.7747488170 55.8366182203 2.9648241206 129.0578891613 52.3598775598 
3.6912461448 168.2432327368 50.9409929669 99.5688949165 3.0126652161 150.9288020215 56.2493706569 87.2173499033 3.0165532203 145.6782554977 57.8620155663 105.2744043832 3.0321426087 133.6422334885 56.0610562180 105.3209739082 3.0150753769 131.6890387874 52.3598775598 
3.7047659613 168.9269642487 50.0447202922 -106.7712246582 3.0629513028 153.7877423685 54.7697318360 71.4613437178 3.0660308398 148.4353294296 52.8995377629 48.6366618855 3.0813832966 136.2770039606 51.4123956696 46.7335329614 3.0653266332 134.3201884135 52.3598775598 
3.7680413635 172.1505509291 50.7529705956 103.3668655510 3.1127290876 156.4336987914 54.1078723735 64.0036346685 3.1168342616 151.1696224596 56.5654077400 93.8277103403 3.1317276209 138.9705008059 56.5905401681 102.7444841477 3.1155778894 136.9513380397 52.3598775598 
3.7854730103 173.0334951520 50.6647489021 95.1862284278 3.1637452900 159.3201724448 56.4029954966 92.2152147128 3.1668196257 153.9844252436 53.3520252365 66.4118965161 3.1783573602 141.5934544621 56.0448867644 55.6332527396 3.1658291457 139.5824876658 52.3598775598 
3.7979814559 173.6688272108 50.7199707990 98.6183662999 3.2130963222 161.9677689859 52.5557522373 47.7545936184 3.2153770830 156.4704069404 51.2728724329 69.2220372971 3.2246897950 144.1217620979 55.5035185980 70.6987617872 3.2160804020 142.2136372919 52.3598775598 
3.8076765946 174.1589946653 50.3793682086 -103.9093839304 3.2643616258 164.8076778531 57.4151177431 105.4849501750 3.2666835969 159.2398488749 55.0175402320 97.5443365659 3.2713906776 146.7933848734 56.6663265759 91.2143703283 3.2663316583 144.8447869180 52.3598775598 
3.8176844179 174.6656540420 50.5135392434 93.8544015247 3.3137562965 167.5167641674 52.2822640793 46.4202401248 3.3164253265 161.8669111669 51.7367109870 47.8672406250 3.3215439429 149.4624635162 51.6593091130 50.3425823099 3.3165829146 147.4759365441 52.3598775598 
3.8307902170 175.3332297428 50.6902707504 95.2366444628 3.3646701871 170.2595008140 56.8064075420 99.7145243289 3.3674677101 164.6436028319 56.7019476872 107.3875335078 3.3734502857 152.2577880939 55.8159849258 107.9781367725 3.3668341709 150.1070861703 52.3598775598 
3.8969595109 178.7371762265 50.6598218179 91.9235778516 3.4145904479 173.0562921065 53.3527275879 60.6414085270 3.4170751066 167.3393136698 51.5518417276 50.6297484279 3.4261663207 155.0515403301 49.7304613784 50.3948618018 3.4170854271 152.7382357964 52.3598775598 
3.9116607598 179.4873829535 50.6373973790 -101.6737760718 3.4649165965 175.7143091112 54.7820738985 77.4700889781 3.4681989087 170.0052770902 54.1127984402 97.1858940745 3.4781274827 157.7358551080 54.6000771033 103.0999538093 3.4673366834 155.3693854225 52.3598775598 
3.9265889358 180.2516421380 51.1256310348 92.4365088007 3.5155028865 178.5665067738 55.0888564674 82.4059236831 3.5188381486 172.6854529384 49.9907681046 78.2101300725 3.5280027302 160.4002215770 51.6515306205 66.1244393192 3.5175879397 158.0005350486 52.3598775598 
3.9398708485 180.9302349235 51.0418319409 90.3673037863 3.5650907829 181.1850647628 52.7137407238 54.8438520639 3.5688387207 175.1542202160 51.2822581503 64.0319642566 3.5783547513 162.9025099886 52.2545940803 72.6580065228 3.5678391960 160.6316846748 52.3598775598 
3.9532598333 181.6155246289 51.4850983662 94.6713241013 3.6162664404 184.0301338641 56.6516164008 101.8891878700 3.6199593939 177.9547509998 55.7475354231 99.3971275629 3.6250960496 165.3947489032 52.1232257728 105.6115937292 3.6180904523 163.2628343009 52.3598775598 
4.0324436320 185.7417531942 51.7227933481 86.2614654979 3.6655159627 186.6811714814 51.8017492522 45.7896622297 3.6696675830 180.5912605171 51.4931908108 47.0977289937 3.6791490495 168.0771005334 47.2790334618 54.7178171181 3.6683417085 165.8939839270 52.3598775598 
4.0457209555 186.4208556945 50.9353945508 75.3202692484 3.7167028083 189.4484590233 56.8520251223 105.2905511813 3.7209527377 183.3647388136 56.6206902740 106.5067050607 3.7300164656 170.5866523726 51.6107712518 112.6536722845 3.7185929648 168.5251335531 52.3598775598 
4.0568630838 186.9906554248 51.3475131970 78.0696345009 3.7663316973 192.1889750506 52.3871188903 54.1463349967 3.7702882747 186.0647294131 52.0319138115 51.5298318276 3.7789447513 173.0706644774 48.2934934108 69.7305243748 3.7688442211 171.1562831792 52.3598775598 
4.1145563464 190.0354099089 54.4898217976 109.6892431596 3.8169414647 194.8556673478 55.1540978880 86.5395637865 3.8209700913 188.7461298098 55.6148681614 92.1038616391 3.8307936817 175.5366365131 49.6439155923 78.1503143277 3.8190954774 173.7874328054 52.3598775598 
4.2483699240 197.1779301783 54.8759217931 90.0239794702 3.8671908403 197.6703225236 54.1200857621 75.7001157894 3.8712200999 191.5595859498 53.8566702228 69.3183360313 3.8843998631 178.3060842156 52.0490054393 96.5192569383 3.8693467337 176.4185824315 52.3598775598 
4.6001368146 216.1452641691 53.7643329193 89.1772520390 3.9170903662 200.2804329151 52.8751747527 61.1586695094 3.9210787890 194.1804483014 53.7200058816 66.2097386642 3.9449112736 181.2819430095 48.7882174494 63.6603408329 3.9195979899 179.0497320576 52.3598775598 
4.6517273034 218.7657369979 49.7242250921 62.9171891249 3.9681301239 203.1169565958 55.9643559642 98.2930384159 3.9721019228 197.0472816414 56.0034847616 92.4141805312 3.9952586387 183.8826935275 53.2284602663 110.0448901127 3.9698492462 181.6808816837 52.3598775598 
4.7536291159 224.0636582190 49.8337993351 69.2916485830 4.0174294615 205.7360457342 51.5445944687 46.9810333795 4.0216249219 199.6866920603 52.2641134915 48.6888913111 4.0441240088 186.3762166455 48.9739723614 52.5770000286 4.0201005025 184.3120313099 52.3598775598 
4.7671228447 224.7386901648 49.9111552729 73.7153769393 4.0686729974 208.5096947370 56.6316251575 106.9333496471 4.0732823845 202.5224071773 56.4053432491 106.8212536525 4.0910364556 188.7880971489 53.9200663940 95.7395153636 4.0703517588 186.9431809360 52.3598775598 
4.7811580237 225.4416864511 50.2711981382 80.9632815902 4.1180810013 211.2072504573 51.8282291494 51.6307874680 4.1225834316 205.1588919684 50.9511164504 49.7061436342 4.1342854474 191.1533416208 53.2956953427 85.0065274656 4.1206030151 189.5743305621 52.3598775598 
4.8618296169 229.5816901622 50.3639134587 92.5375713186 4.1688800214 213.8786926357 55.3444276458 92.7305146269 4.1725474890 207.7958057290 56.1140285577 97.0396376691 4.1831369856 193.6643466154 51.6637622695 54.5711822518 4.1708542714 192.2054801882 52.3598775598 
4.8749435731 230.2434898016 50.7527192141 97.5388028980 4.2190254087 216.6690535572 53.4415404593 71.6285279845 4.2225569652 210.5931595498 53.3762840427 64.5667808489 4.2331461501 196.4147410137 56.1875907116 105.8791134037 4.2211055276 194.8366298143 52.3598775598 
4.8881933801 230.9116959287 50.6441205456 96.1979681523 4.2691089082 219.2723120494 52.9704335827 66.0048983613 4.2726182122 213.2165595483 53.8834106709 72.1533538251 4.2823297867 199.0539930423 51.4814590959 46.9161187122 4.2713567839 197.4677794405 52.3598775598 
4.9017221138 231.5962536975 50.5111954787 94.5328816466 4.3199745834 222.0922615583 55.4935942109 96.4859656066 4.3234493844 216.0550155271 54.9235201181 89.7263243739 4.3326665162 201.7444018468 56.5654082232 101.8000781721 4.3216080402 200.0989290666 52.3598775598 
4.9169476114 232.3654752936 50.6646511834 97.3131312750 4.3693535680 224.6931654746 51.3334575220 48.0538797612 4.3718799213 218.5530646945 49.6911056234 53.0103443587 4.3794090355 204.3764031814 56.0923787347 57.1364012650 4.3718592965 202.7300786927 52.3598775598 
4.9820089436 235.6820809960 50.7377122619 93.6647160209 4.4206016531 227.4633054375 56.4006737042 107.7500452281 4.4224225657 221.1738055929 54.4410754423 110.5028917393 4.4256789408 206.9039474617 55.4262468916 69.1632515380 4.4221105528 205.3612283188 52.3598775598 
4.9949058935 236.3375229863 50.6120133509 97.2353008375 4.4699763536 230.1383289607 51.4665044900 50.7832060542 4.4726375533 223.8489811854 51.1679860183 51.6716867981 4.4724025670 209.5778541370 56.8471433978 92.5457388497 4.4723618090 207.9923779450 52.3598775598 
5.0050210855 236.8493537248 50.7523227213 98.3654666099 4.5208127961 232.8040431303 55.2400200184 94.8337156493 4.5230450716 226.4753651989 54.8199775698 94.0858171552 4.5223782301 212.2443296580 51.6627208811 49.3970862623 4.5226130653 210.6235275711 52.3598775598 
5.0147659045 237.3425059706 50.5939089808 95.1105870570 4.5708495037 235.5741238716 53.0679445985 70.4939347995 4.5733066064 229.2424401810 52.7575491429 72.4850393456 4.5743407581 215.0413707573 55.8454146998 108.2295522828 4.5728643216 213.2546771972 52.3598775598 
5.0270637579 237.9686163840 50.4503792010 -103.3298613526 4.6208971855 238.1630067654 52.8425403245 67.6535009469 4.6234910675 231.8075373947 51.6331566717 66.6966351844 4.6272129827 217.8505310968 49.7418538035 50.0382079219 4.6231155779 215.8858268233 52.3598775598 
5.0432676493 238.7935079033 50.5553621479 94.3006538567 4.6718354759 240.9768516353 55.1369125655 95.3993252341 4.6750472569 234.5400786765 51.9686963459 105.4023478950 4.6791832193 220.5346084468 54.7449456121 103.2230851121 4.6733668342 218.5169764494 52.3598775598 
5.1080676612 242.1299387273 50.9237358965 92.8988731849 4.7213191419 243.5697990964 51.1721236913 49.1567135194 4.7244983206 236.9767348568 48.2836554606 52.0782602598 4.7289857138 223.1991011392 51.8014944481 66.9455573883 4.7236180905 221.1481260756 52.3598775598 
5.1228548401 242.8872021088 50.8404875343 89.6895087944 4.7724830921 246.3257941670 56.2313538938 108.6947785406 4.7758834558 239.6304364772 55.3493710222 106.3488282490 4.7794395091 225.7086288701 52.1896096672 71.8369706803 4.7738693467 223.7792757017 52.3598775598 
5.1343212567 243.4719503343 50.7322227851 87.2566011567 4.8218960802 248.9916830400 51.2322732775 50.8963771362 4.8257696980 242.3400162341 51.7180413745 58.4952997869 4.8261078070 228.1988428047 52.1999819258 106.2152127166 4.8241206030 226.4104253278 52.3598775598 
5.1488042008 244.2139532316 51.1245889117 90.7443965862 4.8727216284 251.6456680375 55.0054933540 94.8690481504 4.8764838638 244.9615275719 54.0201766095 84.0744387313 4.8802198513 230.8888051617 47.3130073730 54.4805881454 4.8743718593 229.0415749539 52.3598775598 
5.2249677471 248.1855944866 50.9528509753 78.3612292612 4.9227810879 254.4074131053 52.9053475113 71.3049326225 4.9268541516 247.7484221250 53.9647982568 82.4022379924 4.9309481043 233.3914178586 51.6024627713 111.9889169133 4.9246231156 231.6727245801 52.3598775598 
5.2418105593 249.0475588750 51.0762337707 77.4554702017 4.9728336041 256.9864555572 52.5828624087 67.2645986370 4.9763153921 250.3137498302 51.9483303284 56.2876577202 4.9800164968 235.8856457961 48.4328800894 70.4302446317 4.9748743719 234.3038742062 52.3598775598 
5.2528146884 249.6101334282 50.9854183194 74.7504157993 5.0236628603 259.7830046426 55.0386756890 96.8166566103 5.0274872915 253.1213727356 56.0220084548 103.7167717344 5.0316855678 238.3442807475 49.6516919233 77.7774576447 5.0251256281 236.9350238323 52.3598775598 
5.2674368855 250.3594563454 51.0061189843 69.9532373059 5.0730857823 262.3669866996 50.9494213920 49.0833825554 5.0766087603 255.7435619739 51.3692671913 46.6903812980 5.0853848291 241.1194731122 52.1374001044 97.0658639516 5.0753768844 239.5661734584 52.3598775598 
5.3763745102 256.1009841202 50.7875192344 -100.4465641891 5.1243425840 265.1128671699 55.9791868034 108.1778497455 5.1277990112 258.4854209464 56.4805023786 104.8350922315 5.1458707231 244.0977903621 48.7655115380 62.9646487988 5.1256281407 242.1973230845 52.3598775598 
