x,y_ref_real,y_ref_imag,y_ref_abs
0.805,0.66648,-3.0845,3.1557
0.81,0.65035,-3.0564,3.1248
0.815,0.63484,-3.0288,3.0946
0.82,0.61991,-3.0018,3.0651
0.825,0.60555,-2.9752,3.0362
0.83,0.59171,-2.9491,3.0079
0.835,0.57838,-2.9235,2.9802
0.84,0.56552,-2.8984,2.9531
0.845,0.55313,-2.8737,2.9265
0.85,0.54116,-2.8495,2.9004
0.855,0.52961,-2.8257,2.8749
0.86,0.51846,-2.8023,2.8499
0.865,0.50768,-2.7794,2.8254
0.87,0.49726,-2.7568,2.8013
0.875,0.48719,-2.7347,2.7777
0.88,0.47744,-2.7129,2.7546
0.885,0.468,-2.6915,2.7318
0.89,0.45887,-2.6704,2.7095
0.895,0.45002,-2.6497,2.6877
0.9,0.44145,-2.6294,2.6662
0.905,0.43314,-2.6093,2.6451
0.91,0.42508,-2.5897,2.6243
0.915,0.41727,-2.5703,2.6039
0.92,0.40968,-2.5512,2.5839
0.925,0.40232,-2.5325,2.5643
0.93,0.39517,-2.5141,2.5449
0.935,0.38823,-2.4959,2.5259
0.94,0.38148,-2.478,2.5072
0.945,0.37493,-2.4604,2.4888
0.95,0.36855,-2.4431,2.4708
0.955,0.36235,-2.4261,2.453
0.96,0.35632,-2.4093,2.4355
0.965,0.35045,-2.3927,2.4182
0.97,0.34474,-2.3764,2.4013
0.975,0.33918,-2.3604,2.3846
0.98,0.33376,-2.3445,2.3682
0.985,0.32848,-2.3289,2.352
0.99,0.32334,-2.3136,2.3361
0.995,0.31833,-2.2984,2.3204
1,0.31344,-2.2835,2.3049
