N, RMSE, Max
5,0.25243,0.39539
6,0.21201,0.51298
7,0.088724,0.21767
8,0.066164,0.20886
9,0.050573,0.1349
10,0.038739,0.11936
11,0.030841,0.08184
12,0.022897,0.069543
13,0.016971,0.04806
14,0.01336,0.039259
15,0.01057,0.028248
