logalpha,pdf
1.953,0.099251
1.963,0.1004
1.973,0.10156
1.983,0.10272
1.993,0.10389
2.003,0.10507
2.013,0.10625
2.023,0.10744
2.033,0.10864
2.043,0.10984
2.0531,0.11106
2.0631,0.11227
2.0731,0.1135
2.0831,0.11473
2.0931,0.11597
2.1031,0.11721
2.1131,0.11847
2.1231,0.11972
2.1331,0.12099
2.1431,0.12226
2.1532,0.12353
2.1632,0.12481
2.1732,0.1261
2.1832,0.12739
2.1932,0.12869
2.2032,0.13
2.2132,0.13131
2.2232,0.13262
2.2332,0.13394
2.2432,0.13527
2.2533,0.1366
2.2633,0.13794
2.2733,0.13928
2.2833,0.14062
2.2933,0.14197
2.3033,0.14333
2.3133,0.14469
2.3233,0.14605
2.3333,0.14742
2.3433,0.14879
2.3534,0.15017
2.3634,0.15154
2.3734,0.15293
2.3834,0.15431
2.3934,0.1557
2.4034,0.1571
2.4134,0.15849
2.4234,0.15989
2.4334,0.16129
2.4434,0.1627
2.4535,0.1641
2.4635,0.16551
2.4735,0.16692
2.4835,0.16834
2.4935,0.16975
2.5035,0.17117
2.5135,0.17259
2.5235,0.17401
2.5335,0.17543
2.5435,0.17686
2.5536,0.17828
2.5636,0.17971
2.5736,0.18113
2.5836,0.18256
2.5936,0.18398
2.6036,0.18541
2.6136,0.18684
2.6236,0.18826
2.6336,0.18969
2.6436,0.19112
2.6537,0.19254
2.6637,0.19397
2.6737,0.19539
2.6837,0.19681
2.6937,0.19823
2.7037,0.19965
2.7137,0.20107
2.7237,0.20249
2.7337,0.2039
2.7437,0.20531
2.7538,0.20672
2.7638,0.20813
2.7738,0.20953
2.7838,0.21093
2.7938,0.21233
2.8038,0.21372
2.8138,0.21511
2.8238,0.2165
2.8338,0.21788
2.8438,0.21926
2.8539,0.22064
2.8639,0.22201
2.8739,0.22337
2.8839,0.22473
2.8939,0.22609
2.9039,0.22744
2.9139,0.22878
2.9239,0.23012
2.9339,0.23146
2.9439,0.23278
2.954,0.23411
2.964,0.23542
2.974,0.23673
2.984,0.23803
2.994,0.23932
3.004,0.24061
3.014,0.24189
3.024,0.24316
3.034,0.24443
3.044,0.24568
3.0541,0.24693
3.0641,0.24817
3.0741,0.2494
3.0841,0.25063
3.0941,0.25184
3.1041,0.25305
3.1141,0.25424
3.1241,0.25543
3.1341,0.25661
3.1441,0.25777
3.1542,0.25893
3.1642,0.26008
3.1742,0.26121
3.1842,0.26234
3.1942,0.26346
3.2042,0.26456
3.2142,0.26565
3.2242,0.26674
3.2342,0.26781
3.2442,0.26887
3.2543,0.26991
3.2643,0.27095
3.2743,0.27197
3.2843,0.27298
3.2943,0.27398
3.3043,0.27497
3.3143,0.27594
3.3243,0.2769
3.3343,0.27785
3.3443,0.27878
3.3544,0.27971
3.3644,0.28061
3.3744,0.28151
3.3844,0.28239
3.3944,0.28325
3.4044,0.2841
3.4144,0.28494
3.4244,0.28577
3.4344,0.28657
3.4444,0.28737
3.4545,0.28815
3.4645,0.28891
3.4745,0.28966
3.4845,0.2904
3.4945,0.29111
3.5045,0.29182
3.5145,0.2925
3.5245,0.29318
3.5345,0.29383
3.5445,0.29447
3.5546,0.2951
3.5646,0.29571
3.5746,0.2963
3.5846,0.29687
