ref_real,ref_imag,ref_abs,opt_real,opt_imag,opt_abs,loo_real,loo_imag,loo_abs,x
1.315e-08,3.362e-08,3.61e+06,1.3196e-08,3.3668e-08,3.6162e-08,1.3179e-08,3.3616e-08,3.6107e-08,4597.5
1.9871e-08,3.2061e-08,3.7719e+06,1.9871e-08,3.2061e-08,3.7719e-08,1.9871e-08,3.2061e-08,3.7719e-08,4600
2.6583e-08,2.8663e-08,3.9093e+06,2.6521e-08,2.8672e-08,3.9057e-08,2.6569e-08,2.8697e-08,3.9108e-08,4602.5
3.261e-08,2.3313e-08,4.0086e+06,3.2521e-08,2.3382e-08,4.0054e-08,3.2622e-08,2.3389e-08,4.014e-08,4605
3.7201e-08,1.622e-08,4.0584e+06,3.7149e-08,1.6348e-08,4.0587e-08,3.7274e-08,1.6302e-08,4.0683e-08,4607.5
3.9719e-08,7.9396e-09,4.0505e+06,3.974e-08,8.0759e-09,4.0552e-08,3.9844e-08,7.9744e-09,4.0634e-08,4610
3.9817e-08,-7.0769e-10,3.9823e+06,3.9892e-08,-6.1889e-10,3.9896e-08,3.9942e-08,-7.4763e-10,3.9949e-08,4612.5
3.7546e-08,-8.8224e-09,3.8569e+06,3.7624e-08,-8.7978e-09,3.8639e-08,3.762e-08,-8.9134e-09,3.8661e-08,4615
3.3339e-08,-1.5638e-08,3.6824e+06,3.3384e-08,-1.5652e-08,3.6871e-08,3.3349e-08,-1.5728e-08,3.6871e-08,4617.5
2.7878e-08,-2.0685e-08,3.4714e+06,2.7889e-08,-2.0701e-08,3.4732e-08,2.7852e-08,-2.0737e-08,3.4724e-08,4620
2.1904e-08,-2.3844e-08,3.2378e+06,2.1902e-08,-2.3849e-08,3.238e-08,2.1882e-08,-2.3858e-08,3.2373e-08,4622.5
1.6051e-08,-2.5292e-08,2.9956e+06,1.6051e-08,-2.5292e-08,2.9956e-08,1.6051e-08,-2.5292e-08,2.9956e-08,4625
1.0749e-08,-2.5382e-08,2.7564e+06,1.075e-08,-2.5389e-08,2.7571e-08,1.0765e-08,-2.5391e-08,2.7579e-08,4627.5
6.2133e-09,-2.4512e-08,2.5287e+06,6.2057e-09,-2.4528e-08,2.5301e-08,6.2273e-09,-2.4537e-08,2.5315e-08,4630
2.495e-09,-2.304e-08,2.3175e+06,2.4728e-09,-2.3056e-08,2.3188e-08,2.4949e-09,-2.3072e-08,2.3207e-08,4632.5
