ref_real,ref_imag,ref_abs,opt_real,opt_imag,opt_abs,loo_real,loo_imag,loo_abs,x
-1.594e-09,5.6366e-10,1.6908e+05,-1.5681e-09,5.8936e-10,1.6752e-09,-1.5716e-09,6.0051e-10,1.6824e-09,4937.5
-1.7679e-09,7.1069e-10,1.9054e+05,-1.7363e-09,7.2711e-10,1.8824e-09,-1.7363e-09,7.3863e-10,1.8869e-09,4940
-1.9209e-09,8.9629e-10,2.1197e+05,-1.8905e-09,9.0166e-10,2.0945e-09,-1.8875e-09,9.114e-10,2.096e-09,4942.5
-2.0453e-09,1.1138e-09,2.3289e+05,-2.0227e-09,1.1108e-09,2.3076e-09,-2.0185e-09,1.1172e-09,2.307e-09,4945
-2.1366e-09,1.3557e-09,2.5305e+05,-2.1257e-09,1.3506e-09,2.5185e-09,-2.1225e-09,1.3533e-09,2.5172e-09,4947.5
-2.1933e-09,1.6154e-09,2.724e+05,-2.1933e-09,1.6154e-09,2.724e-09,-2.1933e-09,1.6154e-09,2.724e-09,4950
-2.2146e-09,1.8882e-09,2.9103e+05,-2.2207e-09,1.8988e-09,2.9218e-09,-2.2252e-09,1.8982e-09,2.9248e-09,4952.5
-2.1995e-09,2.1706e-09,3.0902e+05,-2.2046e-09,2.1935e-09,3.1099e-09,-2.2134e-09,2.1946e-09,3.117e-09,4955
-2.1455e-09,2.4597e-09,3.2639e+05,-2.1428e-09,2.4919e-09,3.2865e-09,-2.1546e-09,2.4968e-09,3.2979e-09,4957.5
-2.0488e-09,2.7509e-09,3.43e+05,-2.0345e-09,2.7862e-09,3.4499e-09,-2.0468e-09,2.7959e-09,3.465e-09,4960
-1.9055e-09,3.0375e-09,3.5857e+05,-1.8799e-09,3.0685e-09,3.5985e-09,-1.8902e-09,3.0823e-09,3.6157e-09,4962.5
-1.7129e-09,3.3097e-09,3.7267e+05,-1.6806e-09,3.3305e-09,3.7305e-09,-1.687e-09,3.3464e-09,3.7476e-09,4965
-1.4712e-09,3.5555e-09,3.8479e+05,-1.4396e-09,3.564e-09,3.8438e-09,-1.4416e-09,3.5792e-09,3.8586e-09,4967.5
-1.1855e-09,3.762e-09,3.9444e+05,-1.1618e-09,3.7608e-09,3.9362e-09,-1.1604e-09,3.7724e-09,3.9469e-09,4970
-8.6558e-10,3.918e-09,4.0124e+05,-8.5397e-10,3.9135e-09,4.0056e-09,-8.5161e-10,3.9195e-09,4.011e-09,4972.5
-5.2501e-10,4.0158e-09,4.05e+05,-5.2501e-10,4.0158e-09,4.05e-09,-5.2501e-10,4.0158e-09,4.05e-09,4975
-1.7904e-10,4.0535e-09,4.0575e+05,-1.8561e-10,4.0638e-09,4.068e-09,-1.911e-10,4.059e-09,4.0635e-09,4977.5
1.5818e-10,4.034e-09,4.0371e+05,1.5241e-10,4.0559e-09,4.0588e-09,1.3932e-10,4.0492e-09,4.0516e-09,4980
4.7531e-10,3.9637e-09,3.9921e+05,4.7689e-10,3.9942e-09,4.0225e-09,4.5584e-10,3.9889e-09,4.0149e-09,4982.5
7.6425e-10,3.8507e-09,3.9258e+05,7.7644e-10,3.8836e-09,3.9604e-09,7.49e-10,3.8832e-09,3.9547e-09,4985
1.0195e-09,3.7033e-09,3.8411e+05,1.0414e-09,3.7321e-09,3.8747e-09,1.0109e-09,3.7386e-09,3.8728e-09,4987.5
1.2375e-09,3.5299e-09,3.7405e+05,1.2649e-09,3.55e-09,3.7686e-09,1.2354e-09,3.5635e-09,3.7716e-09,4990
1.4159e-09,3.3387e-09,3.6266e+05,1.443e-09,3.3487e-09,3.6464e-09,1.4188e-09,3.3669e-09,3.6537e-09,4992.5
1.5541e-09,3.1383e-09,3.502e+05,1.5754e-09,3.14e-09,3.513e-09,1.5594e-09,3.1584e-09,3.5224e-09,4995
1.6532e-09,2.9367e-09,3.3701e+05,1.6647e-09,2.9345e-09,3.3738e-09,1.6577e-09,2.9471e-09,3.3813e-09,4997.5
1.7162e-09,2.7414e-09,3.2343e+05,1.7162e-09,2.7414e-09,3.2343e-09,1.7162e-09,2.7414e-09,3.2343e-09,5000
