x,y_ref_real,y_ref_imag,y_ref_abs
7,0.30509,-0.018912,0.30568
7.01,0.30221,-0.027468,0.30345
7.02,0.29909,-0.035842,0.30123
7.03,0.29574,-0.044029,0.299
7.04,0.29218,-0.052026,0.29678
7.05,0.28841,-0.059829,0.29455
7.06,0.28443,-0.067434,0.29232
7.07,0.28026,-0.074838,0.29008
7.08,0.2759,-0.082036,0.28784
7.09,0.27136,-0.089027,0.28559
7.1,0.26665,-0.095807,0.28334
7.11,0.26178,-0.10237,0.28109
7.12,0.25675,-0.10872,0.27882
7.13,0.25157,-0.11485,0.27655
7.14,0.24624,-0.12076,0.27426
7.15,0.24078,-0.12645,0.27197
7.16,0.2352,-0.13191,0.26966
7.17,0.22949,-0.13714,0.26734
7.18,0.22367,-0.14214,0.26501
7.19,0.21774,-0.14691,0.26266
7.2,0.21171,-0.15145,0.2603
7.21,0.20559,-0.15575,0.25792
7.22,0.19938,-0.15981,0.25552
7.23,0.19309,-0.16364,0.25311
7.24,0.18674,-0.16722,0.25067
7.25,0.18032,-0.17057,0.24821
7.26,0.17384,-0.17367,0.24572
7.27,0.16731,-0.17652,0.24321
7.28,0.16073,-0.17913,0.24067
7.29,0.15412,-0.1815,0.23811
7.3,0.14749,-0.18361,0.23551
7.31,0.14082,-0.18548,0.23288
7.32,0.13415,-0.1871,0.23022
7.33,0.12747,-0.18846,0.22752
7.34,0.12078,-0.18958,0.22479
7.35,0.11411,-0.19044,0.22201
7.36,0.10744,-0.19105,0.21919
7.37,0.10081,-0.1914,0.21632
7.38,0.094198,-0.19149,0.21341
7.39,0.087628,-0.19133,0.21044
7.4,0.081105,-0.19091,0.20742
7.41,0.074638,-0.19023,0.20434
7.42,0.068234,-0.18928,0.20121
7.43,0.061903,-0.18808,0.19801
7.44,0.055654,-0.18662,0.19474
7.45,0.049496,-0.18489,0.1914
7.46,0.04344,-0.1829,0.18799
7.47,0.037496,-0.18064,0.18449
7.48,0.031674,-0.17812,0.18091
7.49,0.025985,-0.17533,0.17724
7.5,0.020442,-0.17227,0.17348
7.51,0.015056,-0.16895,0.16962
7.52,0.0098405,-0.16536,0.16565
7.53,0.0048089,-0.16149,0.16157
7.54,-2.4371e-05,-0.15736,0.15736
7.55,-0.0046441,-0.15296,0.15303
7.56,-0.0090344,-0.1483,0.14857
7.57,-0.013178,-0.14336,0.14396
7.58,-0.017057,-0.13816,0.1392
7.59,-0.020651,-0.13269,0.13428
7.6,-0.023941,-0.12695,0.12919
7.61,-0.026903,-0.12096,0.12392
7.62,-0.029514,-0.11471,0.11845
7.63,-0.03175,-0.10821,0.11277
7.64,-0.033582,-0.10146,0.10687
7.65,-0.034981,-0.094472,0.10074
7.66,-0.035916,-0.087255,0.094358
7.67,-0.036354,-0.07982,0.087709
7.68,-0.036259,-0.072181,0.080776
7.69,-0.035592,-0.064354,0.073541
7.7,-0.034312,-0.056361,0.065983
7.71,-0.032375,-0.048224,0.058083
7.72,-0.029735,-0.039974,0.04982
7.73,-0.026342,-0.031645,0.041174
7.74,-0.022145,-0.02328,0.03213
7.75,-0.01709,-0.014927,0.022691
7.76,-0.01112,-0.0066458,0.012955
7.77,-0.0041789,0.0014957,0.0044385
7.78,0.0037909,0.009416,0.01015
7.79,0.012846,0.017021,0.021324
7.8,0.023039,0.024199,0.033413
7.81,0.03442,0.030825,0.046205
7.82,0.047027,0.036751,0.059683
7.83,0.060889,0.04181,0.073861
7.84,0.076017,0.045814,0.088755
7.85,0.0924,0.048554,0.10438
7.86,0.11,0.049796,0.12074
7.87,0.12873,0.049291,0.13785
7.88,0.14848,0.046775,0.15568
7.89,0.16907,0.041973,0.1742
7.9,0.19026,0.034618,0.19338
7.91,0.21174,0.024453,0.21315
7.92,0.23313,0.011261,0.23341
7.93,0.25399,-0.0051257,0.25404
7.94,0.27378,-0.024796,0.2749
7.95,0.29195,-0.047738,0.29583
7.96,0.3079,-0.073822,0.31662
7.97,0.32102,-0.10278,0.33707
7.98,0.33077,-0.13421,0.35696
7.99,0.33665,-0.16758,0.37606
8,0.33832,-0.20223,0.39416
8.01,0.33555,-0.23744,0.41107
8.02,0.3283,-0.27244,0.42662
8.03,0.31668,-0.30648,0.4407
8.04,0.30098,-0.33886,0.45322
8.05,0.2816,-0.36897,0.46415
8.06,0.25906,-0.39634,0.4735
8.07,0.23394,-0.42062,0.4813
8.08,0.20683,-0.44159,0.48763
8.09,0.17831,-0.45919,0.49259
8.1,0.14892,-0.47343,0.4963
8.11,0.11916,-0.48444,0.49888
8.12,0.089448,-0.4924,0.50045
8.13,0.060124,-0.49753,0.50115
8.14,0.03147,-0.5001,0.50109
8.15,0.0036987,-0.50037,0.50038
8.16,-0.023034,-0.4986,0.49913
8.17,-0.048622,-0.49504,0.49743
8.18,-0.073,-0.48994,0.49535
8.19,-0.096136,-0.48351,0.49297
8.2,-0.11802,-0.47594,0.49035
8.21,-0.13867,-0.46742,0.48755
8.22,-0.15812,-0.45809,0.48461
8.23,-0.17639,-0.4481,0.48157
8.24,-0.19354,-0.43757,0.47846
8.25,-0.20962,-0.42659,0.47531
8.26,-0.22468,-0.41526,0.47214
8.27,-0.23876,-0.40365,0.46898
8.28,-0.25193,-0.39182,0.46583
8.29,-0.26424,-0.37984,0.46271
8.3,-0.27573,-0.36774,0.45963
8.31,-0.28645,-0.35556,0.45659
8.32,-0.29645,-0.34335,0.45362
8.33,-0.30576,-0.33112,0.4507
8.34,-0.31443,-0.31889,0.44784
8.35,-0.3225,-0.3067,0.44505
8.36,-0.32999,-0.29455,0.44233
8.37,-0.33694,-0.28246,0.43967
