N, RMSE, Max
5,0.10335,0.19077
6,0.094418,0.19025
7,0.0067553,0.012625
8,0.0073609,0.017858
9,0.00015133,0.00041795
10,0.00014591,0.00035539
11,3.7444e-06,1.4137e-05
12,3.2955e-06,1.2189e-05
13,1.1867e-07,5.5115e-07
14,1.0553e-07,3.7354e-07
15,1.2454e-07,5.1565e-07
