N, RMSE, Max
5,0.16908,0.42805
6,0.089054,0.25844
7,0.0017411,0.0036799
8,0.02176,0.3018
9,3.1249e-05,9.6057e-05
10,0.00018999,0.00094051
11,8.8257e-07,3.9211e-06
12,1.862e-06,1.7718e-05
13,7.5492e-08,2.9971e-07
14,4.694e-07,2.414e-06
15,1.6553e-07,7.6213e-07
