tgradvar,ygradvar,tbound,ybound
1.0,8.649964791278699e12,1.0,6.810089560500792e13
101.0,4.0930158791632534e12,101.0,3.2437851759707676e13
201.0,1.931022488346773e12,201.0,1.4985024704637188e13
301.0,8.815320496089442e11,301.0,6.735621064775925e12
401.0,4.3340146235214954e11,401.0,3.1754551601089727e12
501.0,2.2139964176808664e11,501.0,1.5701222848191404e12
601.0,1.030147978731338e11,601.0,7.417053606158636e11
701.0,4.672924069920344e10,701.0,3.27642579370182e11
801.0,2.206958554822619e10,801.0,1.4462286743619852e11
901.0,1.088283965290582e10,901.0,6.882187571016154e10
1001.0,5.255920572349198e9,1001.0,3.210907395835932e10
1101.0,2.4780375641542354e9,1101.0,1.457983712840982e10
1201.0,1.1050619621372876e9,1201.0,6.348289380741747e9
1301.0,5.600237878145219e8,1301.0,2.965049905781725e9
1401.0,2.408644826071796e8,1401.0,1.2749729581436486e9
1501.0,1.0338945718425718e8,1501.0,5.545856710089862e8
1601.0,4.872242087499822e7,1601.0,2.3413914204221377e8
1701.0,1.9491347250114325e7,1701.0,1.0177356758879037e8
1801.0,9.175627676146025e6,1801.0,4.5912219651028804e7
1901.0,4.192428721913871e6,1901.0,2.0134361388249442e7
2001.0,1.9031969679528803e6,2001.0,9.329329538880372e6
2101.0,833425.1125706601,2101.0,4.087371189286501e6
2201.0,371185.0555303463,2201.0,1.8524125766157948e6
2301.0,162501.78558643942,2301.0,834920.2883542127
2401.0,65268.916658229726,2401.0,346896.2489962484
2501.0,31035.16557709121,2501.0,160486.86327446127
2601.0,13599.74707654842,2601.0,70093.28088359282
2701.0,5947.7595286275355,2701.0,30486.711357754946
2801.0,2426.5318587793286,2801.0,13423.844317755618
2901.0,1187.8163001271796,2901.0,6135.245175060853
3001.0,501.70112414281994,3001.0,2661.1620803814685
3101.0,255.37932483485778,3101.0,1304.8892691608419
3201.0,118.6032240147094,3201.0,582.3241713909528
3301.0,51.87944368754517,3301.0,262.738002592462
3401.0,24.120668959009695,3401.0,122.9261094296688
3501.0,11.547918822995854,3501.0,60.25987823672719
3601.0,4.6540341854681,3601.0,26.69040334877897
3701.0,2.269260606291729,3701.0,12.3135628875253
3801.0,0.9663233361616029,3801.0,5.223941689472578
3901.0,0.3881962533499376,3901.0,2.1610852472008304
4001.0,0.19821317351160755,4001.0,1.0727792537032552
4101.0,0.08053846224642099,4101.0,0.4623304927322478
4201.0,0.040530829727535446,4201.0,0.22011223536155752
4301.0,0.01986339925836381,4301.0,0.09813889925044995
4401.0,0.008118454658781022,4401.0,0.04463047925966755
4501.0,0.003779068621770257,4501.0,0.019487889870367977
4601.0,0.0016169699916905584,4601.0,0.0090045786785147
4701.0,0.0007169580087787227,4701.0,0.004032948230614595
4801.0,0.00034527259654244433,4801.0,0.0019135976862431345
4901.0,0.00017442384842564687,4901.0,0.0009135918178189948
5001.0,9.796017032265803e-5,5001.0,0.0004718540540833278
5101.0,4.0856170044161345e-5,5101.0,0.00020435101224262775
5201.0,1.5545266668539333e-5,5201.0,8.665515370257546e-5
5301.0,7.0174167894033755e-6,5301.0,3.974384809627159e-5
5401.0,3.873863300349878e-6,5401.0,2.042798306856996e-5
5501.0,1.5629645524998664e-6,5501.0,8.457349998718264e-6
5601.0,7.202663220971676e-7,5601.0,3.9237035720936455e-6
5701.0,3.47773578497692e-7,5701.0,1.877229188198996e-6
5801.0,1.694736670949209e-7,5801.0,8.732927565380904e-7
5901.0,9.61877268965008e-8,5901.0,4.241441259923554e-7
6001.0,3.817740787968385e-8,6001.0,1.7704579550234258e-7
6101.0,1.644129690207471e-8,6101.0,7.994002436875874e-8
6201.0,7.247511420214078e-9,6201.0,3.4967629367602204e-8
6301.0,3.3449758589684416e-9,6301.0,1.660686810293978e-8
6401.0,1.4368706099526251e-9,6401.0,7.568093231398746e-9
6501.0,7.171768085419016e-10,6501.0,3.5345263783309387e-9
6601.0,2.577710963186192e-10,6601.0,1.4790217966029068e-9
6701.0,1.42448998224859e-10,6701.0,7.519670507454779e-10
6801.0,6.296893513177486e-11,6801.0,3.3254511585104426e-10
6901.0,2.834303114542446e-11,6901.0,1.5124604611012297e-10
7001.0,1.437297261862741e-11,7001.0,7.203700150944163e-11
7101.0,6.0842660750479115e-12,7101.0,3.1987696351853234e-11
7201.0,2.9021778196461725e-12,7201.0,1.4458881710077066e-11
7301.0,1.3689153174235988e-12,7301.0,6.826909501983586e-12
7401.0,6.413912657507291e-13,7401.0,3.1689224748238622e-12
7501.0,2.7075894437177234e-13,7501.0,1.3821387029310608e-12
7601.0,1.2816158274579944e-13,7601.0,6.427856368161231e-13
7701.0,5.197178630130387e-14,7701.0,2.7735203493573257e-13
7801.0,2.391094419509972e-14,7801.0,1.2718283197594417e-13
