N,Tpred,Tmean,Tlo,Thi
100.0,87937.81381784823,38916.2,38007.2,39558.8
278.0,31965.43357625996,14129.4,13753.6,14375.4
774.0,11771.71716374723,5174.0,5039.4,5256.0
2154.0,4512.91258371833,1987.2,1944.0,2015.2
5995.0,1903.0725632141705,858.0,841.6,868.2
16681.0,965.2339888223623,455.4,447.4,461.6
46416.0,628.1340540133676,300.6,294.0,307.2
129155.0,506.9833765353142,252.2,245.8,258.6
359381.0,463.44621682576644,233.4,228.0,239.4
1.0e6,447.80204361194797,226.8,221.8,232.8
