Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB
3 clique,2.76,4.12,15.54,1.24918625,70.593
4 clique,9.47,10.54,215.75,23.3996945,21600
5 clique,78.94,77.90,21600,21600,21600
6 clique,1511.60,385.56,21600,21600,21600
7 clique,8073.77,3050.62,21600,21600,21600
