Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 clique,0.33,2.00,22.19,2.63,2.109,1.97
4 clique,2.12,6.50,72.34,9.52,138.028,2.15
5 clique,35.28,16.00,21600,1072.67,3955.399,38.91
6 clique,764.47,223.60,21600,21600,21600,309.92
7 clique,21600,4103.00,21600,21600,21600,6362.55
