Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 clique,1.00,3.16,12.70,1.90,57.29,1.17
4 clique,1.68,1.00,5.60,1.93,163.08,1.47
5 clique,1.00,1.35,927.44,927.44,927.44,1.64
6 clique,1.26,1.00,214.71,5.65,214.71,1.31
3 clique,1.00,2.59,35.04,1.65,1.90,2.89
4 clique,1.00,1.07,126.13,2.48,3.84,1.00
5 clique,8.59,1.00,16.70,16.70,16.70,2.79
6 clique,1.59,1.00,1.59,1.59,1.59,1.59
