Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 cycle,4.25,13.43,53.97,8.06,63.503,4.961595058
4 cycle,53.02,55.88,298.46,1168.32,4593.177,45.786133051
5 cycle,1769.57,680.12,1670.79,14130.66,21600,21600
6 cycle,21600.00,8348.19,21600,21600,21600,21600
