Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 clique,4.25,13.43,53.97,8.06,243.503,4.961595058
4 clique,42.07,24.98,139.80,48.23,4073.83,36.838335037
5 clique,23.29,31.49,21600,21600,21600,38.287371874
6 clique,126.65,100.60,21600,568.49,21600,135.453455
