Query,Logicblox,ADOPT,PostgreSQL,MonetDB,EmptyHeaded
3,0.9940451478,2.9244,3.497579,0.4171922,6.925287914
4,9.011896315,2.6926,10.555337,7.80447,64.58967662
5,15.14323068,3.0632,15.5172378,19.609176,526.561623
