Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3,0.33,2.00,22.19,2.63,2.109,1.97
4,2.12,6.50,72.34,9.52,138.028,2.15
5,35.28,16.00,21600,1072.67,3955.399,38.91
6,764.47,223.60,21600,21600,21600,509.92
7,21600,4103.00,21600,21600,21600,10362.55
3,2.76,4.12,15.54,1.24918625,70.593,6.05
4,9.47,10.54,215.75,23.3996945,21600,12.57
5,78.94,77.90,21600,21600,21600,78.37
6,1511.60,385.56,21600,21600,21600,713.78
7,8073.77,3050.62,21600,21600,21600,7559.03
