Query,Logicblox,ADOPT,PostgreSQL,MonetDB,EmptyHeaded
3,1.58,7.71,19.28,1.064,2.56
4,8.85,3.84,116.43,15.95,5.55
5,237.42,26.14,600.00,217.342,39.74
6,315.73,26.26,600.00,272.686,600.00
