Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 cycle,2.76,4.12,15.54,1.24918625,70.593,6.05
4 cycle,20.08,20.16,109.28,170.5896928,21600,23.26
5 cycle,1684.58,377.99,5359.33,21600,21600,982.72
