Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB
3 cycle,12.88,33.32,451.30,21.21,24.503
4 cycle,352.04,219.35,1864.81,21601.56,21600
5 cycle,21600.00,8560.95,21601.87,21601.87,21600
