Query,Logicblox,ADOPT,PostgreSQL,MonetDB,EmptyHeaded
3,2.50,3.63,118.44,4.85,2.77
4,1.27,1.25,4.07,3.56,11.78
5,1.25,0.31,4.14,3.64,27.27
6,9.66,2.56,7.20,4.81,148.12
3,1.58,2.71,19.28,2.064,2.56
4,8.85,3.84,116.43,15.95,5.55
5,237.42,26.14,600.00,217.342,39.74
6,315.73,26.26,600.00,272.686,600.00
