Thread,	3 clique, 4 clique, 5 clique, 6 clique 
4, 1.553, 3.818, 3.798,	3.4889
8, 2.098, 7.381, 6.027,	7.554
16,	1.798, 13.193, 14.021, 14.411
32,	1.487, 8.930, 26.002, 23.683
48,	1.186, 9.236, 27.538, 30.377
