Query,Logicblox,ADOPT,PostgreSQL,MonetDB,EmptyHeaded
2,1.58,2.71,19.28,2.064,2.56
3,8.85,3.84,116.43,15.95,5.55
4,237.42,26.14,600.00,217.342,39.74
5,315.73,26.26,600.00,272.686,600.00
