Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 cycle,0.33,2.00,22.19,2.63,2.63,1.97
4 cycle,3.42,1.30,9.05,31.63,47.457,2.95
5 cycle,15.57,21.70,173.61,246.57,420.4777,24.03
6 cycle,307.53,308.20,2674.39,21600,21600,309.34
