Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3 clique,1.00,6.06,67.24,7.97,6.39,5.97
4 clique,1.00,3.07,34.12,4.49,65.11,1.01
5 clique,2.21,1.00,1350.00,67.04,247.21,2.43
6 clique,3.42,1.00,96.60,96.60,96.60,1.39
7 clique,5.26,1.00,5.26,5.26,5.26,1.55
3 clique,1.00,1.49,5.63,0.45,25.58,2.19
4 clique,1.00,1.11,22.78,2.47,2280.89,1.33
5 clique,1.01,1.00,277.28,277.28,277.28,1.01
6 clique,3.92,1.00,56.02,56.02,56.02,1.85
7 clique,2.65,1.00,7.08,7.08,7.08,2.48
