cycle   ego-Facebook    ego-Twitter soc-Pokec   soc-Livejournal1
3	1.986	3.973	3.920	22.232
4	23.628	18.170	18.821	41.725
5	48.060	57.413	45.027	76.423
6	78.897	nan	55.130	nan
