Query,Logicblox,ADOPT,PostgreSQL,MonetDB,SkinnerDB,EmptyHeaded
3,4.25,13.43,53.97,8.06,243.503,4.96
4,42.07,24.98,139.80,48.23,4073.83,36.84
5,23.29,31.49,21600,21600,21600,38.29
6,126.65,100.60,21600,568.49,21600,131.45
3,12.88,33.32,451.30,21.21,24.503,37.24
4,141.62,150.83,17854.88,351.31,543.503,141.56
5,12959.12,1509.33,21601.56,21601.56,21600,4212.10
6,21600,15843.54,21600,21600,21600,21600
