SimDETR,DETReg,Steps
0.0174932068764,0.006088552926957,1
0.163710626823,0.0322148414136,2
0.6149700835629,0.0546888135133,3
1.2827586928646,0.1108953420667,4
2.0053791188377,0.1166949501829,5
2.5504096839986,0.1815198906213,6
3.6383728547761,0.2255955146656,7
4.0609686630092,0.2996557381265,8
4.7793025426638,0.4133222773978,9
5.026931608329,0.4660219865132,10
6.0200215685441,0.5987035427613,11
6.0063386873098,0.6702532305114,12
6.4842865178377,0.7445909722796,13
6.5499814781324,0.8637135799265,14
7.2475770353329,0.7722661958659,15
7.3437361107741,0.9878083568276,16
7.4824706623181,1.0196772776111,17
7.6597672769312,1.2788150478312,18
7.3293566152649,1.2273008070824,19
7.9868585072989,1.1831552338363,20
8.0864175725592,1.44409719373,21
8.0650650533468,1.5560201883109,22
8.0152895432435,1.4547639228112,23
8.3911554742859,1.6152498091698,24
8.220368715588,1.5940922000773,25
8.4979301060673,1.765287269782,26
8.6131910587494,1.6831118705429,27
8.9581459597666,1.8814377241912,28
8.7160978150718,1.8663296647569,29
8.8081272242721,1.909180450421,30
8.9291132018982,2.0164711409713,31
8.7505255389649,2.049167817047,32
9.0548814489284,2.2377574338317,33
8.9776318717843,2.4433918995555,34
8.8400670029695,2.2327065857154,35
9.0935556359304,2.1512348186976,36
8.9385750420894,2.3192614857567,37
9.1956576538349,2.1038622517284,38
9.1806901649769,2.2936085952728,39
8.8195018446547,2.522006468699,40
9.3953750968806,2.4373014958846,41
9.3115603889531,2.356645747632,42
8.688597491237,2.2759714943965,43
9.0866671238331,2.3907974066437,44
9.047841047457,2.6530749783927,45
9.1288904219388,2.4440107327625,46
8.9676557014235,2.4738420503414,47
9.0027316365459,2.5217187529671,48
9.2752541179043,2.5582779285815,49
8.7594324772079,2.5858437047629,50
9.1027443912051,2.4875348840721,51
8.9822902066113,2.6750173086324,52
9.1333952660621,2.7772965290948,53
9.083093051683,2.6264360703378,54
8.8757918900994,2.7322609439298,55
8.8932001102007,2.6681262492085,56
9.3287695027468,2.7934859934775,57
9.1880425373839,2.7233882418021,58
8.6113673443399,2.7190101471953,59
8.7990580418399,2.7809690580395,60
9.0499000078102,2.8042428040036,61
8.8126852149685,2.9716352018731,62
9.0723968021401,2.8862741110044,63
9.1831037332166,3.0795317852698,64
8.9928872574471,2.7942097025678,65
8.9327190247046,2.9822031138132,66
9.037716990771,3.0181137064954,67
8.8444162605285,2.9042361894656,68
8.9291021784905,2.9907651536305,69
9.0250523805345,2.8900457505604,70
9.0620219942836,2.8607885996196,71
9.3254922629901,3.1326516517639,72
8.4536436034252,3.1307482158746,73
9.0961784683513,3.193132798829,74
9.5124848341589,3.1302047119878,75
9.2083946523826,3.1872804277125,76
9.3203821469007,3.0652650905407,77
9.0210912554711,3.0263933654414,78
9.1383016199424,3.1710173934445,79
9.2934653956063,3.2031099328348,80
9.2359699718872,3.2904277578112,81
9.2115029593005,3.1031207196202,82
9.3739191294124,3.2510157189872,83
9.4368484259499,3.1350346696516,84
9.2216663959735,3.3345509112107,85
8.7717185137995,3.1261110392467,86
9.2638825629286,3.3876800870693,87
8.7574094731452,3.3113593096053,88
9.0969193984551,3.3577877704201,89
8.6733053475937,3.3461140818709,90
8.7100739156318,3.4451457779923,91
9.1768655890563,3.404263407859,92
9.0394390714465,3.5049095008755,93
9.1078787298341,3.4215852447707,94
9.0014330544795,3.1888093622721,95
9.0050620602235,3.5437876136125,96
9.2109627193901,3.3049777826702,97
8.9517578488948,3.5210005250956,98
9.2751838140593,3.6181634267526,99
8.9109182706836,3.2886932332919,100
9.0234098493075,3.3783299619082,101
9.0316471189587,3.5167367914747,102
8.9802850946707,3.574409802362,103
9.1945511063495,3.7112084543489,104
9.3657652453692,3.5460556485338,105
9.2188125455333,3.6251176438468,106
9.0551573694197,3.5067355728668,107
9.2921577555782,3.5055349573118,108
9.3432070209633,3.5680544751407,109
9.3305493038467,3.577631556681,110
9.2288470399514,3.6637774682424,111
9.2228594239802,3.4236395755967,112
8.9562381885439,3.574277729932,113
8.9249748982878,3.5849458356452,114
9.3774187400111,3.6938883546543,115
9.4997868512093,3.5175096170757,116
8.9326282362586,3.5235018910033,117
9.302391177562,3.4849774749478,118
9.121555715673,3.7229167588004,119
8.9160831189642,3.7663931336805,120
9.767685048761,3.7341491647943,121
9.154102179301,3.6062750732822,122
9.5465120301217,3.6056068720232,123
9.3772220469875,3.6407097509852,124
8.9577462303246,3.8464145998157,125
9.1498395496902,3.6348240038177,126
9.0098700275881,3.6100700053121,127
9.0888998490628,3.7191980190962,128
9.3500848471298,3.8590547199369,129
8.9673836970564,3.7895872693196,130
9.3033189920093,4.0103360214457,131
9.4196045890439,3.860822474478,132
9.5025262815795,3.6508505699865,133
9.1626415368574,3.9024659006491,134
8.5149428413465,3.7574131608453,135
8.9797652246366,3.6548230226702,136
9.2287201068735,3.8141125703771,137
9.2799956702593,4.0271127389518,138
8.8671932174052,3.8339648915199,139
9.1497148816849,3.8702087090788,140
9.1267836837793,3.9797259971378,141
9.0722589567184,4.0435182383729,142
9.3600605032952,3.7933235386727,143
9.4226526756972,3.7868307209849,144
9.2870403084335,4.1023018802123,145
9.215196015838,3.8506087082208,146
9.1234681507794,3.9385076697199,147
8.9505062309596,4.0341646269868,148
8.7713534591999,4.0616673077541,149
9.2379961364613,3.9509108820389,150
8.7914756730892,4.0302730500808,151
9.0054076084959,4.0600900005047,152
9.0003195502397,4.1273010562445,153
9.2948481284975,3.8366603433997,154
8.9841902912831,4.0161818765305,155
8.8012401455058,3.944481467614,156
