topk,tifuknntd,tifuknn,slrc,taiw,taiwi,toppersonal,dnntsp,upcf
5,0.1327382315288837,0.13639644287288574,0.1388964918196517,0.14563181637468842,0.14499629209190706,0.12384069102089054,0.10318665206432343,0.13357508210923782
10,0.1592542980590923,0.16128563456518297,0.16621691902683444,0.17197662151367687,0.17103664968207427,0.1490099291378852,0.09799544513225555,0.15995339543947557
20,0.18382986990056496,0.18770450406398817,0.19078650773933564,0.19726184592669002,0.19582892100721186,0.17382401106055653,0.09312958270311356,0.18425697630277216
25,0.19198735485001,0.19513912687132542,0.1979679228809226,0.20463763349501382,0.20318633819802756,0.18029497248199108,0.09418747574090958,0.19256473480399044
50,0.21354037410595875,0.21788198288752011,0.22129264707056212,0.2280727850227195,0.2275038814220168,0.202787403975258,0.1013873890042305,0.21488019907700268
100,0.2352431980825102,0.23845661028156875,0.2389277313668249,0.24858293961736586,0.24571354133148052,0.22386093378666702,0.11184191703796387,0.2353163215858254
