bucket,tifuknntd,tifuknn,slrc,taiw,taiwi,toppersonal,dnntsp,upcf
1,0.11691696118129005,0.10521860794614593,0.11066193380114273,0.1140778227524344,0.11643661468668706,0.1050841622406832,0.085870266,0.1064525174139743
2,0.14029945629934681,0.13158976916827084,0.1289605543060432,0.1376360264549495,0.13528527192392323,0.12154871979768594,0.11692749,0.12882115003145686
3,0.12349392112471147,0.11756812586875566,0.11755592123101187,0.12346549943926424,0.12353809932633804,0.10820666708092361,0.112453744,0.11516067635326144
4,0.12528185987831456,0.12099813269598943,0.12035268803713314,0.13088308815757904,0.1291766274540123,0.11099720194000999,0.11833192,0.11578443972494168
5,0.11703893053625393,0.11330341409467329,0.12128183179859309,0.12769459365132202,0.12546133923508437,0.09518394587448617,0.11945371,0.10993964897789187
