topk,TAIW,TAIWI,BPRKNN,SLRC,RepurchaseModule,BPR
5,0.14563181637468842,0.14499629209190706,0.070198958139573,0.1388964918196517,0.13673469373414857,0.07015685042433317
10,0.17197662151367687,0.17103664968207427,0.08046133735787868,0.16621691902683444,0.1628147083527463,0.08070344193407605
20,0.19726184592669002,0.19582892100721186,0.08786576643368994,0.19078650773933564,0.1879540120213555,0.08802392697805654
25,0.20463763349501382,0.20318633819802756,0.09042392463847312,0.1979679228809226,0.19564669523987238,0.09082640594068032
50,0.2280727850227195,0.2275038814220168,0.10471562657703111,0.22129264707056212,0.21888790815090306,0.10506731542883319
100,0.24858293961736586,0.24571354133148052,0.11923242736591551,0.2389277313668249,0.23770308331933693,0.1195940223697243
