topk,TAIW,TAIWI,BPRKNN,SLRC,RepurchaseModule,BPR
5,0.07659451307189268,0.07749080085726864,0.05083661446851358,0.07695924521924292,0.0775480468960289,0.05083661446851358
10,0.08118860338599453,0.08133046037937083,0.054756470370003994,0.07991470729728477,0.08082685163800539,0.054756470370003994
20,0.08326356402351852,0.08300379838914476,0.05627474323787054,0.08030620891388593,0.08118019487113502,0.05627474323787054
25,0.08373902334343065,0.0835601776241571,0.05665858199822876,0.08035439712151836,0.0812030535853881,0.05665858199822876
50,0.08504264241412916,0.08528405065240968,0.05798861137316394,0.08047422516208576,0.08133511876643194,0.05798861137316394
100,0.08657374464371814,0.08723465552307953,0.05936422306485244,0.0807184621455428,0.08169834063083987,0.05936422306485244
