# BEGIN PLOT
LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/2b_M_J1J2  //Users/jlindert/Documents/proj/ttsemi/results/LOtchant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOPSpurevbf.yoda/ttsemi_dec/2b_M_J1J2
DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOPSpurevbf.yoda/ttsemi_dec/2b_M_J1J2
Title=pp $\to \ell^{-} \bar \nu_{\ell}b\bar b j j$ at 13 TeV
LegendOrder=
RatioPlot1=1
LogX=1
LogY=1
RatioPlot1YMax=3
RatioPlot1YLabel=1/lvjjbb
RatioPlot1SameStyle=1
XMin=40
YMin=0.0000002
RatioPlot1YSize=5
#RatioPlotYOffset=6.55
RatioPlot1YMin=0.002
RatioPlot1Error=1
RatioPlot1YSize=5
RatioPlot1LogY=1
RatioPlot1ErrorBands=0
RatioPlot1Reference=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot1DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOtchant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOschant.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LOPSpurevbf.yoda/ttsemi_dec/2b_M_J1J2 
XCustomMajorTicks=100	  100	 200	 200	 300	  300	 1000	 1000
XCustomMinorTicks=40	 40	 50	 50	 60	 60	 70	 70	 80	 80	 110	 110	 120	 120	 130	 130	 140	 140	  150	 150	400	 400		500	 500	 600	 600		700	 700	 800	 800	 900	 900
ErrorBands=0
XMax=1000
YLabel=$\mathrm{d}\sigma / \mathrm{d} m_{j_1j_2}$ [pb/GeV]
XLabel=$m_{j_1j_2}$ [GeV]
Legend=1
RatioPlot2=1
RatioPlot2YMax=1.35
RatioPlot2YLabel=1/lvjjbb
RatioPlot2SameStyle=1
RatioPlot2YSize=5
RatioPlot2YMin=0.55
RatioPlot2Error=1
RatioPlot2ErrorBands=0
RatioPlot2Reference=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot2DrawOnly=//Users/jlindert/Documents/proj/ttsemi/results/LOoff.yoda/ttsemi_dec/2b_M_J1J2 //Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl+tchant.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot2Legend=1
RatioPlot2LegendOnly=//Users/jlindert/Documents/proj/ttsemi/results/LObb4l-sl+tchant.yoda/ttsemi_dec/2b_M_J1J2
RatioPlot2LegendXPos=0.25
# END PLOT

# BEGIN SPECIAL label
\psclip{\psframe[linewidth=0, linestyle=none](0,0)(1,1)}
\uput{4pt}[180]{0}\physicscoor(180,0.2){$N_B \ge 2$}
\endpsclip
# END SPECIAL



# BEGIN HISTO1D //Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/2b_M_J1J2
LineColor=red
LineStyle=solid
Path=//Users/jlindert/Documents/proj/ttsemi/results/LOqqp.yoda/ttsemi_dec/2b_M_J1J2
ScaledBy=5.87406875376117812e-11
Title=lvqq'bb
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.500000e+01	7.753300e-04	3.223349e-05	3.223349e-05
2.500000e+01	3.000000e+01	1.290853e-03	2.265543e-05	2.265543e-05
3.000000e+01	3.500000e+01	1.955794e-03	2.823103e-05	2.823103e-05
3.500000e+01	4.000000e+01	2.637348e-03	3.481565e-05	3.481565e-05
4.000000e+01	4.500000e+01	3.491952e-03	2.338331e-05	2.338331e-05
4.500000e+01	5.000000e+01	4.754312e-03	3.156023e-05	3.156023e-05
5.000000e+01	5.500000e+01	6.593234e-03	3.042692e-05	3.042692e-05
5.500000e+01	6.000000e+01	9.800780e-03	2.848240e-05	2.848240e-05
6.000000e+01	6.500000e+01	1.610759e-02	3.830908e-05	3.830908e-05
6.500000e+01	7.000000e+01	3.139234e-02	4.973137e-05	4.973137e-05
7.000000e+01	7.500000e+01	8.786842e-02	1.053468e-04	1.053468e-04
7.500000e+01	8.000000e+01	9.805752e-01	3.688995e-04	3.688995e-04
8.000000e+01	8.500000e+01	1.724709e+00	4.168883e-04	4.168883e-04
8.500000e+01	9.000000e+01	1.119643e-01	1.088306e-04	1.088306e-04
9.000000e+01	9.500000e+01	3.569628e-02	6.691239e-05	6.691239e-05
9.500000e+01	1.000000e+02	1.737979e-02	4.671565e-05	4.671565e-05
1.000000e+02	1.050000e+02	1.024748e-02	4.605270e-05	4.605270e-05
1.050000e+02	1.100000e+02	6.622396e-03	2.049967e-05	2.049967e-05
1.100000e+02	1.150000e+02	4.671216e-03	1.889770e-05	1.889770e-05
1.150000e+02	1.200000e+02	3.426630e-03	1.810698e-05	1.810698e-05
1.200000e+02	1.300000e+02	2.346553e-03	2.071248e-05	2.071248e-05
1.300000e+02	1.400000e+02	1.607625e-03	4.266616e-05	4.266616e-05
1.400000e+02	1.500000e+02	1.195619e-03	7.666550e-05	7.666550e-05
1.500000e+02	1.600000e+02	9.468471e-04	2.933301e-05	2.933301e-05
1.600000e+02	1.700000e+02	8.417713e-04	2.239881e-05	2.239881e-05
1.700000e+02	1.800000e+02	8.452394e-04	2.383294e-05	2.383294e-05
1.800000e+02	1.900000e+02	7.877977e-04	3.529139e-05	3.529139e-05
1.900000e+02	2.000000e+02	7.563670e-04	4.341512e-05	4.341512e-05
2.000000e+02	2.500000e+02	6.149656e-04	5.574047e-06	5.574047e-06
2.500000e+02	3.000000e+02	5.320344e-04	3.748294e-05	3.748294e-05
3.000000e+02	3.500000e+02	3.644014e-04	4.441635e-06	4.441635e-06
3.500000e+02	4.000000e+02	2.994140e-04	9.612357e-06	9.612357e-06
4.000000e+02	4.500000e+02	2.191446e-04	4.022613e-06	4.022613e-06
4.500000e+02	5.000000e+02	1.689539e-04	3.123961e-06	3.123961e-06
5.000000e+02	6.000000e+02	1.158088e-04	1.664942e-06	1.664942e-06
6.000000e+02	7.000000e+02	7.720227e-05	4.453436e-06	4.453436e-06
7.000000e+02	8.000000e+02	4.789879e-05	1.485826e-06	1.485826e-06
8.000000e+02	9.000000e+02	2.929241e-05	1.023643e-06	1.023643e-06
9.000000e+02	1.000000e+03	2.057564e-05	9.191082e-07	9.191082e-07
# 0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# 5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# 1.000000e+01	1.500000e+01	6.820420e-06	1.535711e-06	1.535711e-06
# 1.500000e+01	2.000000e+01	3.423348e-04	9.782450e-05	9.782450e-05
# 2.000000e+01	2.500000e+01	9.776250e-04	1.664911e-04	1.664911e-04
# 2.500000e+01	3.000000e+01	1.177031e-03	5.166799e-05	5.166799e-05
# 3.000000e+01	3.500000e+01	1.874268e-03	5.949338e-05	5.949338e-05
# 3.500000e+01	4.000000e+01	2.639140e-03	8.797118e-05	8.797118e-05
# 4.000000e+01	4.500000e+01	3.366320e-03	7.906671e-05	7.906671e-05
# 4.500000e+01	5.000000e+01	4.719632e-03	9.139735e-05	9.139735e-05
# 5.000000e+01	5.500000e+01	6.568054e-03	1.234363e-04	1.234363e-04
# 5.500000e+01	6.000000e+01	9.584986e-03	1.046771e-04	1.046771e-04
