lmbda	share
0.0001	0.007932582933066258
0.0002	0.010607388987844678
0.0003	0.012817474292311466
0.0004	0.014641673352745138
0.0005	0.016233363784585605
0.0008	0.02016126332371496
0.001	0.02258944394712365
0.002	0.03386204615372114
0.003	0.04172624775281988
0.004	0.05010823810296192
0.005	0.056155296806915084
0.008	0.07646250314419764
0.01	0.08826041668478608
0.02	0.1408209964057051
