lmbda	share
0.0001	0.026636440302149417
0.0002	0.033291276106827535
0.0003	0.03876271696754076
0.0004	0.04206541612916747
0.0005	0.04770662443481179
0.0008	0.057492949539266355
0.001	0.0649101118180737
0.002	0.0941247239698345
0.003	0.11910638574855234
0.004	0.14424506030740195
0.005	0.1676995102603111
0.008	0.21154653348578412
0.01	0.250556114333832
0.02	0.35831038913970387
