t	u
0	0.433623245994395
0.0202686914137205	0.442056617041533
0.0676215305007928	0.462214700735675
0.141128600580527	0.495476708366325
0.239577066713375	0.5436598340888
0.36134936566041	0.609600326043146
0.504445698966877	0.696292985247653
0.666516315515211	0.807301894092761
0.844899969400662	0.945178786167864
1.03666757995368	1.11199622317292
1.23867031347966	1.31089554507466
1.44759128125804	1.57444912068123
1.66	2.72735167653947
1.87240871874196	4.60037286679255
2.08132968652034	4.84192526406513
2.28333242004632	4.98554608941475
2.47510003059934	5.09380775182974
2.65348368448479	5.18094202442939
2.81555430103312	5.25216585250558
2.95865063433959	5.31064391263935
3.08042293328663	5.35776778932168
3.17887139941947	5.39461193690295
3.25237846949921	5.42142172926255
3.29973130858628	5.43852821342014
3.32	5.44569999745397
