t	r	a	vr	va	m
0	1	0	0	1	1
0.0202686914137205	1.00001182624785	0.0202963256598395	0.00125490665425854	1.0025881996871	0.998481875013112
0.0676215305007928	1.00015286109563	0.0679015364488668	0.00471824576388018	1.00838371098056	0.99493514736549
0.141128600580527	1.00073029370273	0.142331228330492	0.0113959765790886	1.01717170732067	0.989429467816519
0.239577066713375	1.0024085540488	0.242823523118812	0.0230318722077751	1.02741954056413	0.982055677703168
0.36134936566041	1.00626265827685	0.368134322490575	0.041136229723271	1.03845391656879	0.972934932512034
0.504445698966877	1.01400250658681	0.515891899119202	0.0676878088971267	1.04651106040014	0.962217017147377
0.666516315515211	1.02773610085037	0.682549756196958	0.102855534613808	1.05043056285587	0.950077927967905
0.844899969400662	1.04996710074065	0.862614030744524	0.146767487903478	1.04415564205123	0.936716992291886
1.03666757995368	1.08277967690227	1.04933920625818	0.195893088002238	1.02843148018656	0.922353598261464
1.23867031347966	1.1276535927948	1.234732144254	0.247613982313786	0.996454705085099	0.907223593520367
1.44759128125804	1.18446463047745	1.4115512542745	0.295559813845334	0.955956058652838	0.891575413033767
1.55366555784807	1.2169848854907	1.49474348532068	0.316600523420509	0.925598410890248	0.883630449717174
1.66	1.2514416594896	1.57285629008772	0.32920902603912	0.886782909929146	0.875665999999994
1.87240871874196	1.32022029654645	1.71341277931599	0.308276815470486	0.820570028657073	0.859756586966222
2.08132968652034	1.37921091328579	1.83770489110204	0.256078804809987	0.789144051901857	0.844108406479621
2.28333242004632	1.42617264331028	1.94967997153431	0.208943124870625	0.768225695276501	0.828978401738522
2.47510003059934	1.46177980859128	2.05107289422245	0.162553069780219	0.761182957258128	0.8146150077081
2.65348368448479	1.48718888076865	2.14300901150551	0.122842892177703	0.76002639305254	0.80125407203208
2.81555430103312	1.50424651370954	2.22559037743935	0.0878975723001538	0.765817537813448	0.789114982852607
2.95865063433959	1.51478915885271	2.29853511763351	0.0599786054770686	0.773806889475489	0.778397067487952
3.08042293328663	1.52071907186414	2.36099137204379	0.0375748654048642	0.783978386303764	0.769276322296821
3.17887139941947	1.52359619243664	2.41199649545819	0.0212348546618994	0.793398701493992	0.761902532183471
3.25237846949921	1.52473365317897	2.45044969418665	0.00972728436815878	0.801658766694259	0.756396852634498
3.29973130858628	1.52502801599944	2.47543182299117	0.00286292259665008	0.807233170328081	0.752850124986875
3.32	1.52505759663021	2.48617637964425	0	0.809761038681624	0.751331999999988
