thr,lut
7.26E+01,5.67E+05
7.78E+01,5.72E+05
7.78E+01,5.81E+05
7.78E+01,5.90E+05
7.78E+01,5.99E+05
7.78E+01,6.08E+05
7.78E+01,6.17E+05
7.78E+01,6.35E+05
7.78E+01,6.52E+05
7.78E+01,6.61E+05
7.78E+01,6.70E+05
7.78E+01,6.79E+05
7.78E+01,6.88E+05
7.78E+01,6.97E+05
7.78E+01,7.06E+05
7.78E+01,7.15E+05
7.78E+01,7.24E+05
7.78E+01,7.33E+05
7.78E+01,7.42E+05
7.78E+01,7.51E+05
7.78E+01,7.69E+05
7.78E+01,7.87E+05
7.78E+01,7.96E+05
7.78E+01,8.05E+05
7.78E+01,8.14E+05
7.78E+01,8.23E+05
7.78E+01,8.32E+05
7.78E+01,8.41E+05
7.78E+01,8.50E+05
7.78E+01,8.68E+05
7.78E+01,8.85E+05
7.78E+01,8.94E+05
7.78E+01,9.03E+05
7.78E+01,9.12E+05
7.78E+01,9.21E+05
7.78E+01,9.30E+05
7.78E+01,9.39E+05
9.42E+01,9.41E+05
9.42E+01,9.51E+05
9.84E+01,9.60E+05
1.19E+02,9.65E+05
1.19E+02,9.75E+05
1.19E+02,9.85E+05
1.19E+02,9.94E+05
1.19E+02,1.00E+06
1.19E+02,1.01E+06
1.22E+02,1.02E+06
1.36E+02,1.02E+06
1.36E+02,1.03E+06
1.36E+02,1.04E+06
1.36E+02,1.05E+06
1.45E+02,1.06E+06
1.45E+02,1.07E+06
1.45E+02,1.08E+06
1.45E+02,1.09E+06
1.56E+02,1.10E+06
1.56E+02,1.12E+06
1.56E+02,1.14E+06
1.56E+02,1.15E+06
1.56E+02,1.17E+06
1.56E+02,1.19E+06
1.56E+02,1.22E+06
1.56E+02,1.26E+06
1.56E+02,1.28E+06
1.56E+02,1.30E+06
1.56E+02,1.31E+06
1.56E+02,1.33E+06
1.56E+02,1.35E+06
1.56E+02,1.37E+06
1.56E+02,1.39E+06
1.56E+02,1.40E+06
1.56E+02,1.42E+06
1.56E+02,1.44E+06
1.56E+02,1.46E+06
1.56E+02,1.49E+06
1.56E+02,1.53E+06
1.56E+02,1.55E+06
1.56E+02,1.57E+06
1.56E+02,1.58E+06
1.56E+02,1.60E+06
1.56E+02,1.62E+06
1.56E+02,1.64E+06
1.56E+02,1.65E+06
1.56E+02,1.69E+06
1.56E+02,1.73E+06
1.56E+02,1.74E+06
1.56E+02,1.76E+06
1.56E+02,1.78E+06
1.56E+02,1.80E+06
1.56E+02,1.82E+06
1.56E+02,1.83E+06
1.88E+02,1.84E+06
1.88E+02,1.86E+06
1.97E+02,1.88E+06
2.38E+02,1.88E+06
2.38E+02,1.90E+06
2.38E+02,1.92E+06
2.38E+02,1.94E+06
2.38E+02,1.96E+06
2.38E+02,1.98E+06
2.44E+02,2.00E+06
2.71E+02,2.00E+06
2.71E+02,2.02E+06
2.71E+02,2.04E+06
2.71E+02,2.06E+06
2.90E+02,2.07E+06
2.90E+02,2.09E+06
2.90E+02,2.11E+06
2.90E+02,2.13E+06
2.95E+02,2.15E+06
3.00E+02,2.15E+06
3.11E+02,2.16E+06
3.11E+02,2.19E+06
3.11E+02,2.23E+06
3.11E+02,2.26E+06
3.11E+02,2.30E+06
3.11E+02,2.33E+06
3.11E+02,2.41E+06
3.11E+02,2.48E+06
3.11E+02,2.51E+06
3.11E+02,2.55E+06
3.11E+02,2.59E+06
3.11E+02,2.62E+06
3.11E+02,2.66E+06
3.11E+02,2.69E+06
3.11E+02,2.73E+06
3.11E+02,2.76E+06
3.11E+02,2.80E+06
3.11E+02,2.84E+06
3.11E+02,2.87E+06
3.11E+02,2.94E+06
3.11E+02,3.02E+06
3.11E+02,3.05E+06
3.11E+02,3.09E+06
3.11E+02,3.12E+06
3.11E+02,3.16E+06
3.11E+02,3.19E+06
3.11E+02,3.23E+06
3.11E+02,3.27E+06
3.11E+02,3.29E+06
3.11E+02,3.32E+06
3.11E+02,3.32E+06
3.11E+02,3.32E+06
3.11E+02,3.32E+06
3.11E+02,3.35E+06
3.11E+02,3.36E+06
3.11E+02,3.36E+06
3.11E+02,3.36E+06
3.11E+02,3.36E+06
3.11E+02,3.40E+06
3.11E+02,3.41E+06
3.11E+02,3.41E+06
3.11E+02,3.41E+06
3.11E+02,3.41E+06
3.11E+02,3.45E+06
3.11E+02,3.48E+06
3.11E+02,3.49E+06
3.77E+02,3.49E+06
3.77E+02,3.53E+06
3.94E+02,3.57E+06
4.76E+02,3.58E+06
4.76E+02,3.62E+06
4.76E+02,3.65E+06
4.76E+02,3.69E+06
4.76E+02,3.73E+06
4.76E+02,3.77E+06
4.88E+02,3.81E+06
5.42E+02,3.81E+06
5.42E+02,3.84E+06
5.42E+02,3.88E+06
5.42E+02,3.92E+06
5.80E+02,3.96E+06
5.80E+02,3.99E+06
5.80E+02,4.02E+06
5.80E+02,4.06E+06
5.90E+02,4.10E+06
6.01E+02,4.11E+06
6.10E+02,4.11E+06
6.22E+02,4.11E+06
6.22E+02,4.18E+06
6.22E+02,4.26E+06
6.22E+02,4.33E+06
6.22E+02,4.40E+06
6.22E+02,4.47E+06
6.22E+02,4.61E+06
6.22E+02,4.76E+06
6.22E+02,4.83E+06
6.22E+02,4.90E+06
6.22E+02,4.97E+06
6.22E+02,5.05E+06
6.22E+02,5.12E+06
6.22E+02,5.19E+06
6.22E+02,5.26E+06
6.22E+02,5.33E+06
6.22E+02,5.40E+06
6.22E+02,5.48E+06
6.22E+02,5.55E+06
6.22E+02,5.60E+06
6.22E+02,5.65E+06
6.22E+02,5.65E+06
6.22E+02,5.65E+06
6.22E+02,5.65E+06
6.22E+02,5.72E+06
6.22E+02,5.74E+06
6.22E+02,5.74E+06
6.22E+02,5.74E+06
6.22E+02,5.74E+06
6.22E+02,5.81E+06
6.22E+02,5.84E+06
6.22E+02,5.84E+06
6.22E+02,5.84E+06
6.22E+02,5.84E+06
6.22E+02,5.91E+06
6.22E+02,5.93E+06
6.22E+02,5.93E+06
6.22E+02,5.93E+06
6.22E+02,5.93E+06
6.22E+02,6.00E+06
6.22E+02,6.00E+06
6.22E+02,6.05E+06
6.22E+02,6.10E+06
6.22E+02,6.10E+06
6.22E+02,6.10E+06
6.22E+02,6.10E+06
6.22E+02,6.17E+06
6.22E+02,6.20E+06
6.22E+02,6.20E+06
6.22E+02,6.20E+06
6.22E+02,6.20E+06
6.22E+02,6.27E+06
6.22E+02,6.29E+06
6.22E+02,6.29E+06
6.22E+02,6.29E+06
6.22E+02,6.29E+06
6.22E+02,6.36E+06
6.22E+02,6.44E+06
6.22E+02,6.45E+06
7.53E+02,6.45E+06
7.53E+02,6.53E+06
7.87E+02,6.61E+06
9.52E+02,6.62E+06
9.52E+02,6.70E+06
9.52E+02,6.77E+06
9.52E+02,6.85E+06
9.52E+02,6.93E+06
9.52E+02,7.00E+06
9.75E+02,7.08E+06
1.08E+03,7.08E+06
1.08E+03,7.13E+06
1.08E+03,7.21E+06
1.08E+03,7.29E+06
1.16E+03,7.36E+06
1.16E+03,7.42E+06
1.16E+03,7.47E+06
1.16E+03,7.52E+06
1.18E+03,7.58E+06
1.20E+03,7.60E+06
1.22E+03,7.60E+06
1.24E+03,7.61E+06
1.24E+03,7.75E+06
1.24E+03,7.89E+06
1.24E+03,8.04E+06
1.24E+03,8.18E+06
1.24E+03,8.32E+06
1.24E+03,8.42E+06
1.24E+03,8.52E+06
1.24E+03,8.52E+06
1.24E+03,8.52E+06
1.24E+03,8.52E+06
1.24E+03,8.66E+06
1.24E+03,8.71E+06
1.24E+03,8.71E+06
1.24E+03,8.71E+06
1.24E+03,8.71E+06
1.24E+03,8.85E+06
1.24E+03,8.90E+06
1.24E+03,8.90E+06
1.24E+03,8.90E+06
1.24E+03,8.90E+06
1.24E+03,9.04E+06
1.24E+03,9.09E+06
1.24E+03,9.09E+06
1.24E+03,9.09E+06
1.24E+03,9.09E+06
1.24E+03,9.24E+06
1.24E+03,9.28E+06
1.24E+03,9.28E+06
1.24E+03,9.28E+06
1.24E+03,9.28E+06
1.24E+03,9.43E+06
1.24E+03,9.48E+06
1.24E+03,9.47E+06
1.24E+03,9.47E+06
1.24E+03,9.47E+06
1.24E+03,9.62E+06
1.24E+03,9.62E+06
1.24E+03,9.72E+06
1.24E+03,9.81E+06
1.24E+03,9.81E+06
1.24E+03,9.81E+06
1.24E+03,9.81E+06
1.24E+03,9.95E+06
1.24E+03,1.00E+07
1.24E+03,1.00E+07
1.24E+03,1.00E+07
1.24E+03,1.00E+07
1.24E+03,1.01E+07
1.24E+03,1.02E+07
1.24E+03,1.02E+07
1.24E+03,1.02E+07
1.24E+03,1.02E+07
1.24E+03,1.03E+07
1.24E+03,1.04E+07
1.24E+03,1.04E+07
1.24E+03,1.04E+07
1.24E+03,1.04E+07
1.24E+03,1.05E+07
1.24E+03,1.05E+07
1.24E+03,1.06E+07
1.24E+03,1.07E+07
1.24E+03,1.07E+07
1.24E+03,1.07E+07
1.24E+03,1.07E+07
1.24E+03,1.08E+07
1.24E+03,1.08E+07
1.24E+03,1.08E+07
1.24E+03,1.08E+07
1.24E+03,1.08E+07
1.24E+03,1.08E+07
1.24E+03,1.08E+07
1.24E+03,1.09E+07
1.24E+03,1.09E+07
1.24E+03,1.09E+07
1.24E+03,1.09E+07
1.24E+03,1.09E+07
1.24E+03,1.09E+07
1.24E+03,1.09E+07
1.24E+03,1.10E+07
1.24E+03,1.10E+07
1.24E+03,1.10E+07
1.24E+03,1.10E+07
1.24E+03,1.10E+07
1.24E+03,1.10E+07
1.50E+03,1.10E+07
1.50E+03,1.12E+07
1.57E+03,1.13E+07
1.90E+03,1.14E+07
1.90E+03,1.15E+07
1.90E+03,1.16E+07
1.90E+03,1.18E+07
1.90E+03,1.19E+07
1.90E+03,1.21E+07
1.95E+03,1.22E+07
2.16E+03,1.22E+07
2.16E+03,1.23E+07
2.16E+03,1.24E+07
2.16E+03,1.25E+07
2.32E+03,1.26E+07
2.32E+03,1.28E+07
2.32E+03,1.29E+07
2.32E+03,1.30E+07
2.36E+03,1.31E+07
2.40E+03,1.32E+07
2.44E+03,1.32E+07
2.48E+03,1.32E+07
2.48E+03,1.32E+07
2.48E+03,1.32E+07
2.48E+03,1.32E+07
2.48E+03,1.35E+07
2.48E+03,1.36E+07
2.48E+03,1.36E+07
2.48E+03,1.36E+07
2.48E+03,1.36E+07
2.48E+03,1.39E+07
2.48E+03,1.40E+07
2.48E+03,1.40E+07
2.48E+03,1.40E+07
2.48E+03,1.40E+07
2.48E+03,1.42E+07
2.48E+03,1.42E+07
2.48E+03,1.44E+07
2.48E+03,1.46E+07
2.48E+03,1.46E+07
2.48E+03,1.46E+07
2.48E+03,1.46E+07
2.48E+03,1.49E+07
2.48E+03,1.50E+07
2.48E+03,1.50E+07
2.48E+03,1.50E+07
2.48E+03,1.50E+07
2.48E+03,1.53E+07
2.48E+03,1.54E+07
2.48E+03,1.54E+07
2.48E+03,1.54E+07
2.48E+03,1.54E+07
2.48E+03,1.57E+07
2.48E+03,1.58E+07
2.48E+03,1.58E+07
2.48E+03,1.58E+07
2.48E+03,1.58E+07
2.48E+03,1.61E+07
2.48E+03,1.62E+07
2.48E+03,1.62E+07
2.48E+03,1.62E+07
2.48E+03,1.62E+07
2.48E+03,1.65E+07
2.48E+03,1.65E+07
2.48E+03,1.65E+07
2.48E+03,1.65E+07
2.48E+03,1.65E+07
2.48E+03,1.68E+07
2.48E+03,1.68E+07
2.48E+03,1.70E+07
2.48E+03,1.72E+07
2.48E+03,1.72E+07
2.48E+03,1.72E+07
2.48E+03,1.72E+07
2.48E+03,1.73E+07
2.48E+03,1.73E+07
2.48E+03,1.73E+07
2.48E+03,1.74E+07
2.48E+03,1.74E+07
2.48E+03,1.74E+07
2.48E+03,1.74E+07
2.48E+03,1.75E+07
2.48E+03,1.75E+07
2.48E+03,1.75E+07
2.48E+03,1.76E+07
2.48E+03,1.76E+07
2.48E+03,1.76E+07
2.48E+03,1.76E+07
2.48E+03,1.77E+07
2.48E+03,1.77E+07
2.48E+03,1.77E+07
2.48E+03,1.78E+07
2.48E+03,1.78E+07
2.48E+03,1.78E+07
2.48E+03,1.78E+07
2.48E+03,1.79E+07
2.48E+03,1.79E+07
2.48E+03,1.79E+07
2.48E+03,1.81E+07
2.48E+03,1.83E+07
2.48E+03,1.83E+07
2.48E+03,1.83E+07
2.48E+03,1.83E+07
2.48E+03,1.84E+07
2.48E+03,1.84E+07
2.48E+03,1.84E+07
2.48E+03,1.85E+07
2.48E+03,1.85E+07
2.48E+03,1.85E+07
2.48E+03,1.85E+07
2.48E+03,1.86E+07
2.48E+03,1.86E+07
2.48E+03,1.86E+07
2.48E+03,1.87E+07
2.48E+03,1.87E+07
2.48E+03,1.87E+07
2.48E+03,1.87E+07
2.48E+03,1.88E+07
2.48E+03,1.88E+07
2.48E+03,1.88E+07
2.48E+03,1.89E+07
2.48E+03,1.89E+07
2.48E+03,1.89E+07
3.00E+03,1.89E+07
3.00E+03,1.92E+07
3.04E+03,1.95E+07
3.80E+03,1.95E+07
3.80E+03,1.97E+07
3.80E+03,1.99E+07
3.80E+03,2.01E+07
3.80E+03,2.03E+07
3.80E+03,2.05E+07
3.89E+03,2.08E+07
4.33E+03,2.07E+07
4.33E+03,2.10E+07
4.33E+03,2.12E+07
4.33E+03,2.14E+07
4.63E+03,2.16E+07
4.63E+03,2.18E+07
4.63E+03,2.20E+07
4.63E+03,2.22E+07
4.71E+03,2.25E+07
