lmbda              mac_decoded_pixel  n_pixels           n_loops            psnr_db            rate_bpp
1.0000             0                  9437184            0.00               27.02207           0.13130
2.0000             0                  9437184            0.00               28.66939           0.20889
3.0000             0                  9437184            0.00               30.49876           0.31985
4.0000             0                  9437184            0.00               32.43260           0.47840
5.0000             0                  9437184            0.00               34.11759           0.66869
6.0000             0                  9437184            0.00               36.48716           0.93884
7.0000             0                  9437184            0.00               38.35148           1.25914
8.0000             0                  9437184            0.00               40.32575           1.66021
