arxiv_id,success,runtime_s,mem_before_rss,mem_after_rss,mem_max_rss,mem_avg_rss,size_before_bytes,size_after_bytes,disk_max_bytes,final_output_size_bytes,references_count
2307.15713,True,10.35,41304064,40894464,41312256,41308160,879809,528533,4423570344,4423221407,1
2307.15714,True,16.79,40886272,38920192,40886272,40176298,13001007,71600,4426359040,4423301257,18
2307.15715,True,11.19,38957056,40038400,40017920,39487488,2601497,1521824,4425902853,4424827034,4
2307.15716,True,13.05,40034304,40218624,40198144,40116224,932629,531606,4425360894,4425360894,1
2307.15717,True,12.8,40214528,40443904,40411136,40312832,863158,293421,4425655956,4425655956,1
2307.15718,True,29.7,40435712,40488960,40488960,40460288,23132213,1579542,4436157066,4427237098,0
2307.15719,True,15.03,40480768,40542208,40517632,40499200,7392550,4340369,4431580433,4431581928,4
2307.15720,True,14.13,40534016,40570880,40558592,40546304,6378723,1490348,4434719563,4433086576,35
2307.15721,True,45.36,40562688,38486016,40595456,40284745,41028597,1606056,4467681492,4434698769,7
2307.15722,True,14.56,38514688,40493056,40333312,39424000,619399,261205,4434970730,4434970730,26
2307.15723,True,10.59,40484864,40718336,40615936,40550400,3492822,339794,4437984005,4435314039,3
2307.15724,True,16.26,40710144,40812544,40812544,40749738,9178527,479196,4438451673,4435800186,14
2307.15725,True,9.34,40804352,41422848,41422848,41113600,357643,260445,4436060730,4436074784,42
2307.15726,True,14.67,41414656,40173568,41414656,40089600,233752,235592,4436313102,4436313102,5
2307.15727,True,9.84,40169472,40312832,40304640,40237056,124297,122251,4436435450,4436444169,20
2307.15728,True,19.47,40304640,40509440,40476672,40381098,3593776,2105986,4439099574,4438566888,41
2307.15729,True,16.38,40501248,38559744,40501248,39778986,5386679,290815,4441025167,4438861108,1
2307.15730,True,12.06,38600704,39821312,39579648,39090176,5133835,473327,4442385967,4439369681,82
2307.15731,True,10.48,39813120,40013824,39960576,39886848,1199216,172343,4440339500,4439564252,30
2307.15732,True,21.99,40009728,41271296,40148992,40102570,41639080,309074,4453187647,4439876641,0
2307.15733,True,11.52,38830080,40214528,39809024,39319552,4408645,486110,4443701031,4440390412,62
2307.15734,True,18.65,40206336,40173568,40239104,40132608,1187028,916615,4441177369,4441349135,82
2307.15735,True,18.32,40173568,38506496,40615936,40461653,844423,349282,4441698516,4441732585,97
2307.15736,True,25.99,38555648,40611840,39858176,39472128,15290723,569173,4447700707,4442394060,86
2307.15737,True,21.82,40603648,40636416,40632320,40621397,9614022,418350,4444691465,4442863796,121
2307.15738,True,11.16,40632320,40656896,40640512,40636416,2721764,63327,4445297662,4442930517,4
2307.15739,True,12.25,40648704,39632896,40660992,40654848,5450778,125290,4446391041,4443118689,56
2307.15740,True,18.59,39636992,40419328,40382464,40032938,4612810,1011216,4446719846,4444175097,81
2307.15741,True,105.61,40415232,40693760,40669184,40528827,97182329,1234313,4492114618,4445415363,3
2307.15742,True,13.89,40685568,40755200,40718336,40701952,262827,264219,4445682361,4445682361,5
2307.15743,True,17.92,40747008,40865792,40820736,40777045,6327146,236588,4451338934,4445945895,58
2307.15744,True,9.6,40857600,40861696,40861696,40859648,72881,74839,4446020833,4446023386,5
2307.15745,True,18.6,40857600,40259584,40865792,40652800,3739376,133679,4447828175,4446163383,11
2307.15746,True,17.42,40251392,41283584,41259008,40600917,6420202,198739,4448252441,4446365437,4
2307.15747,True,13.34,41279488,41431040,41324544,41302016,6022569,285235,4450551647,4446656599,4
2307.15748,True,10.1,41426944,40239104,41431040,41428992,5150330,370642,4448238393,4447030547,0
2307.15749,True,25.32,40230912,41111552,41111552,40891392,22188913,55960,4469042918,4447097632,31
2307.15750,True,9.62,41103360,41226240,41226240,41164800,64975,64975,4447162706,4447164124,0
2307.15751,True,10.34,38305792,40218624,40210432,39258112,860566,855137,4447354430,4448021155,1
2307.15752,True,9.59,40210432,40816640,40796160,40503296,366306,216612,4448387558,4448239473,0
2307.15753,True,15.48,40808448,39940096,40828928,40523093,2308651,1123797,4449368859,4449396992,25
2307.15754,True,9.9,39997440,40386560,40361984,40179712,869263,74479,4450197651,4449472997,1
2307.15755,True,10.3,40382464,40517632,40517632,40450048,320232,59363,4449659382,4449534960,4
2307.15756,True,18.21,40509440,38187008,40521728,40516266,332510,335058,4449790727,4449875025,13
2307.15757,True,9.6,38400000,39784448,39759872,39079936,16590,16955,4449893140,4449896158,10
2307.15758,True,15.44,39776256,40042496,39936000,39856128,6461212,190419,4452473622,4450088298,0
2307.15759,True,10.46,40038400,40407040,40378368,40208384,1897553,59972,4451796618,4450153362,5
2307.15760,True,10.76,40402944,39321600,40402944,39643136,310709,81326,4450383138,4450293038,38
2307.15761,True,19.07,39358464,40357888,39981056,39698432,12924089,5387800,4456746450,4455740866,37
2307.15762,True,13.41,40349696,40460288,40443904,40396800,10856341,330820,4460975655,4456081452,22
2307.15763,True,10.25,40456192,41693184,41668608,41062400,273898,169429,4456250981,4456255084,6
2307.15764,True,21.62,41684992,41713664,41697280,41691818,384548,391641,4456650342,4456650342,8
2307.15765,True,10.75,38514688,39821312,39813120,39163904,1314391,788416,4457964830,4457441314,0
2307.15766,True,11.61,39813120,39940096,39882752,39847936,3986379,125889,4460835511,4457569568,1
2307.15767,True,19.88,39936000,39632896,40034304,39466325,13621353,692865,4462776341,4458299059,94
2307.15768,True,10.24,39628800,40165376,40116224,39872512,1657030,265358,4459670210,4458567014,2
2307.15769,True,10.89,40161280,40214528,40173568,40167424,3107193,1804231,4461674305,4460394292,50
2307.15770,True,24.0,40206336,40853504,40837120,40519680,97050653,96231868,4556628357,4556652223,28
2307.15771,True,12.8,40849408,40890368,40857600,40853504,5454258,100190,4561747324,4556766141,31
2307.15772,True,18.05,40910848,41046016,41025536,40951808,321241,326837,4557008936,4557102236,24
2307.15773,True,32.7,41041920,41119744,41119744,41061580,27111097,471210,4572822782,4557575941,2
2307.15774,True,15.49,41115648,41127936,41123840,41119744,1198457,100505,4557678122,4557680823,9
2307.15775,True,19.4,41119744,39985152,41148416,40747008,3735320,537872,4558650005,4558226226,19
2307.15776,True,33.74,39976960,40009728,40009728,39994163,1353652,327182,4558676668,4558564411,23
2307.15777,True,13.07,40001536,40333312,40005632,40003584,134636,127296,4558694762,4558694762,4
2307.15778,True,30.52,40325120,39247872,40337408,39642726,22046287,612646,4567368110,4559329239,63
2307.15779,True,12.41,39239680,39849984,39788544,39514112,4206093,652603,4562955060,4560001081,33
2307.15780,True,21.81,39849984,39763968,39858176,39806293,2434262,464076,4560481728,4560481728,35
2307.15781,True,19.33,39755776,38830080,39858176,39434922,226261,229187,4560711014,4560717306,17
2307.15782,True,15.81,38862848,39702528,39526400,39194624,6915412,78740,4563854940,4560801303,9
2307.15783,True,10.73,39698432,39813120,39804928,39751680,517411,93727,4561122888,4560920337,53
2307.15784,True,10.57,39833600,40763392,39964672,39899136,769640,460629,4561690074,4561394702,25
2307.15785,True,10.33,40759296,41009152,41009152,40884224,697630,381624,4561798141,4561783786,17
2307.15786,True,20.88,41005056,41050112,41013248,41010517,17177462,2113044,4576897845,4563912591,40
2307.15787,True,22.4,38572032,40235008,40075264,39454037,594692,602055,4564524779,4564524779,28
2307.15788,True,9.74,40230912,40603648,40603648,40417280,161389,164954,4564689830,4564691755,3
2307.15789,True,9.84,40607744,40685568,40685568,40646656,101061,101033,4564713870,4564795179,3
2307.15790,True,15.35,40677376,38535168,40681472,40679424,2945177,1742967,4567218445,4566540598,2
2307.15791,True,19.4,38612992,40828928,40718336,39646549,27530215,1572632,4572973717,4568132468,41
2307.15792,True,24.43,40841216,41070592,41070592,40996864,6771207,542719,4569844030,4568700037,68
2307.15793,True,21.01,41062400,40538112,41230336,41122474,9394021,1814207,4571985017,4570525103,22
2307.15794,True,12.72,40529920,41037824,40988672,40759296,6302924,66011,4576259085,4570594290,7
2307.15795,True,28.02,41029632,41398272,41394176,41231360,15410085,9023201,4579625442,4579625442,14
2307.15796,True,11.57,41390080,39546880,41398272,41394176,3414926,267842,4582453472,4579898234,9
2307.15797,True,9.8,39538688,40402944,40402944,39970816,1281328,28137,4580639712,4579931067,8
2307.15798,True,10.83,40398848,40501248,40415232,40407040,2665191,282586,4582251219,4580220177,14
2307.15799,True,45.5,40493056,40534016,40534016,40521728,43733950,187221,4602322335,4580411338,5
2307.15800,True,21.78,40529920,39993344,40538112,40325120,15238335,844884,4586694700,4581258034,0
2307.15801,True,27.79,39985152,40140800,40116224,40073216,22920952,674453,4593121508,4581943346,25
2307.15802,True,10.48,40136704,40153088,40153088,40144896,207336,207656,4581998726,4582160148,18
2307.15803,True,9.81,40144896,40153088,40153088,40148992,49625,18819,4582197980,4582179994,0
2307.15804,True,15.41,40144896,40128512,40148992,40146944,2348879,594243,4583050217,4582784232,26
2307.15805,True,9.7,40124416,40411136,40411136,40267776,125089,58169,4582866758,4582844772,3
2307.15806,True,13.93,40402944,39723008,40411136,40407040,12377389,1158572,4592273858,4584059639,30
2307.15807,True,18.29,39718912,40525824,40448000,40129877,9560309,1445977,4590368255,4585511005,8
2307.15808,True,14.05,40517632,38604800,40562688,40540160,943257,183386,4585697586,4585697586,3
2307.15809,True,13.25,38690816,40787968,40775680,39733248,861142,874118,4586573357,4586573357,0
2307.15810,True,11.75,40800256,40812544,40812544,40806400,3138813,1750529,4589712267,4588329346,5
2307.15811,True,9.58,40804352,40845312,40845312,40824832,72671,73702,4588403147,4588406708,8
2307.15812,True,9.37,40857600,40882176,40873984,40865792,526138,55322,4588947907,4588470060,23
2307.15813,True,18.34,40878080,38305792,40919040,39975594,124661,46782,4588524281,4588518656,1
2307.15814,True,15.99,38305792,39702528,39682048,39204181,3413670,374700,4589883489,4588896752,6
2307.15815,True,16.71,39694336,40329216,39960576,39791274,7913440,414960,4590628329,4589314998,2
2307.15816,True,15.76,40329216,38666240,40345600,39780352,5201390,3242285,4594516486,4592565386,13
2307.15817,True,18.53,38699008,40017920,40005632,39066282,200831,194082,4592698009,4592762370,6
2307.15818,True,20.77,40013824,40087552,40067072,40049322,14645612,137765,4606385763,4592943503,76
2307.15819,True,14.51,40079360,40177664,40161280,40120320,149308,150850,4593100720,4593100720,14
2307.15820,True,9.98,40169472,40189952,40189952,40179712,122817,123948,4593135738,4593225824,0
2307.15821,True,9.82,40181760,40198144,40198144,40189952,58035,25693,4593251613,4593261569,10
2307.15822,True,24.52,40189952,41295872,41598976,40819712,8290094,2049535,4595645940,4595318266,18
2307.15823,True,44.62,41291776,39370752,41304064,41299285,72085714,323529,4623545287,4595659390,32
2307.15824,True,18.32,39444480,40525824,40361984,40009728,5678214,1393648,4598529162,4597154563,83
2307.15825,True,9.17,40517632,40558592,40558592,40538112,227871,96146,4597250809,4597253509,5
2307.15826,True,16.05,40550400,38617088,40562688,39791274,191727,190285,4597445166,4597455455,33
2307.15827,True,21.8,38633472,40263680,40112128,39561898,291131,260068,4597717461,4597717461,2
2307.15828,True,13.33,38432768,39915520,39768064,39100416,6464737,75400,4602952245,4597800399,12
2307.15829,True,324.66,39936000,40853504,40837120,40463655,269484796,267620,4756289091,4598080092,28
2307.15830,True,28.82,38653952,40706048,40513536,39677952,42272069,1401025,4608637144,4599490738,23
2307.15831,True,11.32,40701952,40902656,40738816,40720384,2006657,581685,4600975776,4600103965,47
2307.15832,True,14.73,40894464,40660992,40894464,40443904,706748,710422,4600841882,4600841882,88
2307.15833,True,10.69,40652800,40939520,40890368,40771584,3236972,423430,4603402353,4601270283,10
2307.15834,True,15.4,40931328,40996864,40943616,40937472,1871336,501654,4602002400,4601784832,30
2307.15835,True,10.01,40988672,41160704,41160704,41074688,192929,194410,4601979340,4601988955,22
2307.15836,True,10.08,41152512,41259008,41259008,41205760,1658910,45526,4602430407,4602037145,4
2307.15837,True,9.34,41254912,41259008,41259008,41256960,113375,115290,4602152532,4602156444,9
2307.15838,True,12.21,41254912,41312256,41271296,41263104,8817434,481886,4606814519,4602640561,0
2307.15839,True,10.12,41308160,41316352,41316352,41312256,1958214,268168,4604175250,4602912047,4
2307.15840,True,11.5,41308160,41320448,41320448,41314304,4333672,377764,4606585084,4603296078,10
2307.15841,True,41.3,41312256,41676800,41324544,41319765,41160318,376707,4623851551,4603675261,1
2307.15842,True,13.31,41652224,41660416,41660416,41656320,7936730,2615418,4606812895,4606294351,5
2307.15843,True,9.48,41652224,38690816,41652224,40128512,819024,63976,4606358426,4606360310,0
2307.15844,True,13.79,38719488,40484864,39997440,39358464,2186572,1779478,4608145241,4608145241,14
2307.15845,True,12.06,40476672,38764544,40513536,40495104,2768709,73690,4610534712,4608222349,2
2307.15846,True,10.47,38793216,40574976,40558592,39675904,1239636,575785,4608798231,4608802564,6
2307.15847,True,12.45,40570880,38535168,40636416,40603648,4180720,152851,4612449885,4608958138,1
2307.15848,True,14.79,38670336,40140800,40095744,39383040,2791528,475852,4609654502,4609438318,8
2307.15849,True,9.51,40140800,40189952,40189952,40165376,130609,130609,4609569025,4609570871,2
2307.15850,True,10.38,40185856,40275968,40275968,40230912,1158157,158696,4609729663,4609733625,6
2307.15851,True,9.23,40267776,40321024,40321024,40294400,890240,295311,4610029034,4610030932,0
2307.15852,True,40.26,40312832,40931328,40931328,40440490,56926373,2669624,4632023340,4612706267,9
2307.15853,True,10.57,40923136,40947712,40947712,40935424,655260,217064,4613058576,4612930827,13
2307.15854,True,10.4,40939520,39641088,40939520,39751680,121203,122814,4612958221,4613059442,15
2307.15855,True,14.03,39665664,40300544,40243200,39954432,6594563,224477,4616197075,4613285600,0
2307.15856,True,16.56,40349696,40595456,40595456,40493056,123265,125478,4613412951,4613413226,1
2307.15857,True,257.69,40587264,40665088,40648704,40611254,820695,94345,4613511461,4613511461,5
2307.15858,False,41.01,40656896,40665088,40665088,40663722,0,0,4613511558,4613511558,0
2307.15859,False,117.95,40656896,40665088,40665088,40664606,0,0,4613511646,4613511646,0
2307.15860,True,64.87,40656896,40742912,40738816,40672369,3998303,144989,4616649271,4613676873,52
2307.15861,True,14.41,40734720,40747008,40742912,40738816,103740,103740,4613782404,4613782404,2
2307.15862,True,11.38,40738816,40751104,40747008,40742912,2944268,41764,4616128581,4613825933,0
2307.15863,True,10.37,40742912,39399424,40742912,40001536,1353143,464985,4614706728,4614294107,4
2307.15864,True,15.36,39424000,40251392,40198144,39811072,3701568,867150,4615721865,4615163049,2
2307.15865,True,17.55,40226816,40366080,40366080,40318293,57119,58208,4615207991,4615222955,2
2307.15866,True,9.21,40357888,41111552,41111552,40734720,116109,116109,4615339159,4615340748,3
2307.15867,True,18.11,41103360,41123840,41123840,41112917,7902961,481710,4620198059,4615911388,24
2307.15868,True,9.87,41115648,41123840,41123840,41119744,360252,202803,4616114290,4616128964,39
2307.15869,True,9.66,41119744,41136128,41136128,41127936,91319,92795,4616221856,4616225227,6
2307.15870,True,29.36,41132032,41345024,41345024,41196544,9361434,2175986,4618416453,4618416453,36
2307.15871,True,14.85,41336832,39424000,41345024,41340928,3331977,354646,4619008135,4618779807,20
2307.15872,True,13.22,39456768,40546304,40214528,39835648,6384168,227480,4624014594,4619027082,40
2307.15873,True,31.27,40542208,40919040,40898560,40715264,28336035,320480,4632587874,4619351195,5
2307.15874,True,14.17,40910848,41201664,40923136,40916992,26461920,356087,4624585982,4619710996,6
2307.15875,True,15.33,41193472,41213952,41197568,41195520,2158594,955906,4620703084,4620703084,48
2307.15876,True,12.98,41209856,39403520,41213952,41211904,6314495,801838,4625937871,4621507356,3
