Name;Cluster_ID;RA;DEC;Z;Z_ERR;BCG_NAME;BCG_RA;BCG_DEC;BCG_Z_Spec;BCG_W1;BCG_W2;Island;Radio_RA;Radio_DEC;Flux_DS9(Jy);DS9_axis;L_X;L_X_10_43;L_X_Err_10_43;L_X_Err_H;M_X;M_X_10_14_sol_Mass;R_500;Central_Density;Centrsl_Density_Err_H;Clear_Case;Remarks;Upper Limit;Point Source;SUMSS(mJy);SUMSS_Err(mJy)
em01_321141_020_ML00051_010_c947;J213151.8-500346;322.9661859539048;-50.062824082128245;0.4410884380340576;0.008661449886858463;J213151.23-500344.2;322.9637;-50.0624;0;14.645;14.523;SB9287_island_183086;0;0;0.00075;35.989;1.35981652034243E44;13.598;4.681;1.827911830722136E44;5.0333906647344806E14;5.033;1034;0.018134884685886993;0.30138685627485656;1;No corresponding radio source to BCG;1;0;0;0
em01_323138_020_ML00091_010_c947;J212809.3-484330;322.0391317981139;-48.72522690309167;0.3361964523792267;0.008744616061449051;"J212809.39-484346.8
";322.0391;-48.7297;0;14.564;14.373;SB9287_island_49592;0;0;0.00075;30.46;3.292114194689297E43;3.292;1.595;4.887045888750443E43;1.986549437201872E14;1.987;790;0.00884620290500136;0.10158547069033497;1;No corresponding radio source to BCG;1;0;0;0
em01_323150_020_ML00003_009_c947;J213800.9-600758;324.5038060273042;-60.133017842149656;0.31887159868421355;0.0016053817486535657;"[RBB2014] J213800.82-600753.8
";324.5043759;"-60.1316695
";0.3212;13.710;13.383;SB9287_island_10764;324.5206061;-60.1254414;0.00587468;18.34;3.4041974158925976E44;34.042;4.125;3.816685623980369E44;1.0125972320705256E15;10.126;1368;0.002785117954653661;0.02861077513614296;1;0;0;0;0;0
em01_323150_020_ML00027_009_c947;J212433.5-612500;321.13980820508493;-61.416872489553334;0.4362205125207991;0.002824826172793705;[RBB2014] J212434.77-612444.4;321.1449255;"-61.4123658
";0.4356;14.613;14.457;SB9287_island_3527;321.1432890;-61.4135623;0.0170863;22.47;2.536861586197061E44;25.369;4.593;2.9961858792998146E44;7.799621159809394E14;7.800;1199;0.006366359496405407;0.0624624048695471;1;0;0;0;24.7;1.3
em01_323150_020_ML00039_009_c947;J212251.5-582948;320.7145845843575;-58.49679569864664;0.29695460200309753;0.006246859673410654;J212249.41-582941.9;320.7059;-58.4950;0;14.167;"13.911
";0;320.7025795;-58.4944022;0.00110202;31.005;7.459816010063902E43;7.460;1.980;9.440066797589836E43;3.574302729992424E14;3.574;975;0.004276018984654448;0.05376259962624497;1;0;0;0;0;0
em01_323150_020_ML00057_009_c947;J213305.7-594531;323.2738082648626;-59.758761480442956;0.49813249707221985;0.007809205446392298;J213305.59-594537.1;323.2732;-59.7603;0;14.562;14.412;SB9287_island_85173;323.2699342;-59.7596145;0.000258316;41.184;1.519845134619328E44;15.198;4.226;1.942409244027139E44;5.28176655316374E14;5.282;1028;0.0069596507240242324;0.07574831105881823;1;Very weak source;0;0;0;0
em01_323150_020_ML00083_009_c947;J213221.5-585412;323.0896029129375;-58.90353917190477;0.504770040512085;0.0077450755052268505;J213221.89-585414.1;323.0912;-58.9038;0;14.576;14.328;SB9287_island_15772;323.0913061;-58.9042433;0.00221504;21.342;1.5229366813939179E44;15.229;4.924;2.015370824006326E44;5.267417206391807E14;5.267;1024;0.02210314088988461;0.3240006873552623;1;0;0;0;0;0
em01_325153_020_ML00033_002_c947;J213505.3-625455;323.7723527506111;-62.91529895629339;0.24171052873134613;0.005924694240093231;LEDA 338113;323.7732;-62.9158;0.23295;13.753;13.467;SB9287_island_15286;323.7637374;-62.9164295;0.00426439;28.778;4.32272527960191E43;4.323;1.191;5.513678207334883E43;2.5117022781721278E14;2.512;885;0.004803526159783283;0.05475721196452017;1;Very weak source;0;0;0;0
em01_326147_020_ML00020_009_c947;J214553.0-564449;326.4711267622475;-56.746994896455455;0.48031839926870457;0.0017535525007446034;[RBB2014] J214551.96-564453.5;326.4664;-56.7482;0.4813;13.351;13.360;SB9287_island_17990;326.4645297;-56.7551415;0.00275789;30.588;3.3602068126901356E44;33.602;6.383;3.998555482404045E44;9.26632987041604E14;9.266;1248;0.006822066432677912;0.07190352901182713;1;0;0;0;0;0
em01_326147_020_ML00022_009_c947;J213536.8-572622;323.903425199997;-57.43954080310521;0.4266918992191658;6.666181026452109E-4;"[RBB2014] J213537.41-572630.7
";323.9059;-57.4418;0.4305;14.754;14.481;SB9287_island_17520;323.9134656;-57.4415458;0.00463198;38.791;1.819061986816403E44;18.191;4.812;2.3002709487317605E44;6.21750224962094E14;6.218;1116;0.007834139162119632;0.11774057525733322;1;0;0;0;0;0
em01_326147_020_ML00073_009_c947;J214647.5-573649;326.69799620375665;-57.613663237001724;0.6119474564803721;0.01698047319154061;[BRS2016] J214648.41-573653.7;326.7028;-57.6152;0.610596;14.953;15.022;SB9287_island_112007;326.7183673;-57.6159106;0.00101797;24.452;2.4754080478139877E44;24.754;9.598;3.4352009527211455E44;6.957868344478188E14;9.958;1077;0.03459753680927638;0.4553231093322455;1;0;0;0;0;0
em01_326147_020_ML00644_009_c947;J214758.4-572019;326.9935274612352;-57.33887221704838;0.1558515578508377;0.004590088967233896;0;0;0;0;0;0;SB9287_island_59768;0;0;0.00075;42.79;4.1233319605780146E43;4.123;1.248;5.371418533788316E43;2.5250441575502312E14;2.525;913;0.0018197344341582848;0.024742602343764842;1;0;0;0;0;0
em01_327138_020_ML00100_009_c947;J215813.2-485044;329.5550822279385;-48.84569215643203;0.49376609921455383;0.007856574840843678;J215812.61-485031.7;329.5531;-48.8421;0;14.663;14.499;0;0;0;0.00075;0;6.212697203615953E43;6.213;3.185;9.397318207272135E43;2.8296435532565344E14;2.830;826;0.013933450008752027;0.11853792541408403;1;No corresponding radio source to BCG;1;0;0;0
em01_328144_020_ML00024_010_c947;J215129.7-552019;327.87385157405686;-55.3386995474916;0.03889999911189079;0.0;2MASX J21512991-5520124;327.915748;-55.343981;0.03878;11.243;11.316;SB9287_island_225;327.8721366;-55.3403906;2.62345;100;1.2095518196386118E43;1.210;0.219;1.4283204543717487E43;1.1337859375191753E14;1.134;727;0.0741101815266672;0.2872710550832255;1;Low-z, Nice visible jets;0;0;0;0
em01_329150_020_ML00002_010_c947;J220153.8-595645;330.47430716158766;-59.94588020562735;0.12388987094163895;0.005664943717420101;ESO 146-5;330.4725;-59.9452;0.10083;11.660;11.600;SB9287_island_30049;330.4725;-59.9452;0.00212878;24.617;3.9820638457472534E44;39.821;1.682;4.1503090723045935E44;1.2167957438403382E15;12.168;1560;0.0379578326692966;0.1567373367967186;1;0;0;0;0;0
em01_329150_020_ML00031_010_c947;J220504.4-592716;331.2683626839382;-59.45468370587336;0.3549828827381134;0.007697578053921461;J220500.42-592716.9;331.2514;-59.4547;0;13.755;13.541;SB9287_island_18068;331.2486578;-59.4554863;0.0026472;31.23;1.3774685703158462E44;13.775;2.698;1.6472958446794971E44;5.3109604356702406E14;5.311;1088;0.010037157597201201;0.11897057070501801;1;0;0;0;0;0
em01_329150_020_ML00104_010_c947;J215826.3-602359;329.5354204794039;-60.37952756861604;0.10477065294981003;0.006200246978551149;2MASX J21582577-6023286;329.6074751;-60.3912744;0.078849;12.474;12.462;SB9287_island_65832;329.6112832;-60.3883685;0.0176039;33.902;5.488262623329106E43;5.488;0.844;6.331816362321248E43;3.12951500361066E14;3.130;998;0.005453827970151743;0.06287259947757645;1;0;0;0;14.9;0.9
