Name;Cluster_ID;RA;DEC;Z;Z_ERR;BCG_NAME;BCG_RA;BCG_DEC;BCG_Z_Spec;BCG_W1;BCG_W2;Island;Radio_RA;Radio_DEC;Flux_DS9(Jy);DS9_axis;L_X;L_X_10_43;L_X_Err_10_43;L_X_Err_H;M_X;M_X_10_14_sol_Mass;R_500;Central_Density;Centrsl_Density_Err_H;Clear_Case;Remarks;Upper Limit;Point Source;SUMSS(mJy);SUMSS_Err(mJy)
em01_332138_020_ML00091_009_c947;J220731.3-492529;331.88075081965223;-49.42482763735719;0.2635507583618164;0.006825662218034267;J220733.00-492444.0;331.8875;-49.4121;0;14.443;14.215;SB9287_island_4908;331.8875000;-49.4121000;0.013086;25.525;4.25513551653824E43;4.255;1.366;5.621100512318895E43;2.460614751140367E14;2.461;871;0.005659566985744813;0.04672346965502171;1;0;0;0;0;0
em01_333144_020_ML00035_009_c947;J221631.8-532501;334.13264740906504;-53.417169533676145;0.18971064686775208;0.004020514898002148;LEDA 430211;334.1311;-53.4126;0.151841;13.594;13.398;SB9287_island_722;334.1308014;-53.4131365;0.0838643;26.444;3.525232064609229E43;3.525;0.920;4.4454023439454825E43;2.232699689071608E14;2.233;866;0.008203734173759924;0.10252967269648934;1;0;0;0;0;0
em01_333144_020_ML00288_009_c947;J221454.0-532017;333.72518437898407;-53.338290065050586;0.3327588737010956;0.007975952699780464;J221454.87-532100.6;333.7286;-53.3501;;14.127;13.917;SB9287_island_924;333.7298625;-53.3517854;0.144263;43.651;3.131917524763539E43;3.132;1.387;4.518791322898688E43;1.9196452561855525E14;1.920;782;0.006925848958118491;0.07207548405239099;1;0;0;0;0;0
em01_335141_020_ML00003_009_c947;J220920.7-514811;332.3363458175397;-51.803279226951844;0.1334507316350937;0.005458016414195299;LEDA 163750;332.3397;-51.8070;0.10931;12.133;12.091;SB9287_island_35397;332.3390287;-51.8076879;0.000790688;18.922;1.0289997860138476E44;10.290;0.731;1.1021461650653827E44;4.7752718237679656E14;4.775;1138;0.0011145087320572021;0.008050281793920009;1;0;0;0;0;0
em01_335141_020_ML00018_009_c947;J222327.0-522740;335.86285350325284;-52.46119834333967;0.27456721663475037;0.004945433232933283;WISEA J222321.82-522749.3;335.8408;-52.4639;0.236342;13.733;13.443;SB9287_island_49414;335.8396269;-52.4489756;0.0221048;46.582;8.328468554214764E43;8.328;1.691;1.0019225811964533E44;3.89711924546907E14;3.897;1012;0.00763705190613757;0.07607877538029446;1;Elongated, Tail;0;0;0;0
em01_335141_020_ML00062_009_c947;J222120.9-501708;335.3374159660763;-50.28556009391016;0.18865524232387543;0.003913625609129667;"LEDA 468032
";335.3384;-50.2847;0.179082;13.441;13.241;0;335.3655928;-50.2804774;0.600143;42.797;2.77953520889233E43;2.780;1.028;3.807395224237082E43;1.896673061324465E14;1.897;821;0.00989780348397681;0.09504081936285824;1;0;0;0;744.4;22.4
em01_335141_020_ML00092_009_c947;J221504.0-520501;333.76701787754763;-52.08380778242717;0.50960373878479;0.007322178687900305;LEDA 448827;333.7623;-52.0808;0;15.128;15.067;SB9287_island_20931;333.7601568;-52.0853633;0.00211687;24.379;1.4794573002154224E44;14.795;4.631;1.942558447347477E44;5.142110585688893E14;5.142;1014;0.003159699447819201;0.03723116771800105;1;0;0;0;0;0
em01_335141_020_ML00104_009_c947;J222420.5-503901;336.0854435119237;-50.650503145411584;0.3464376926422119;0.009614312089979649;J222417.04-503859.3;336.0709;-50.6498;0;14.872;14.678;SB9287_island_84336;0;0;0.00075;31.900;6.587188380840148E43;6.587;1.731;8.318602844640971E43;3.1984259823541144E14;3.198;922;0.008122729660040455;0.09812122393692826;0;More the one BCG candidates, no radio sources;0;0;0;0
em01_336147_020_ML00083_009_c947;J221959.1-581546;334.99628391675435;-58.26298815976179;0.2856887876987457;0.00650940602645278;J221958.01-581620.9;334.9923;-58.2724;0;13.940;13.680;SB9287_island_7341;334.9924519;-58.2731865;0.00682825;21.215;4.76118704053766E43;4.761;1.584;6.345014880907307E43;2.629835001592467E14;2.630;884;0.001996246994521742;0.02775899441308021;1;0;0;0;21.6;4.7
em01_307141_020_ML00015_002_c947;J202726.9-522215;306.8624100318347;-52.370973462076016;0.06421994986746485;9.570894332251311E-4;6dFGS gJ202728.4-522210;306.8691;-52.3699;0.06433;11.537;11.543;SB9287_island_8048;306.8676016;-52.3700169;0.00597572;17.852;1.1976575866832368E43;1.198;0.428;1.6253037372578735E43;1.1168879952509553E14;1.117;718;0.012912221845256668;0.10722191724188111;1;0;0;1;0;0
em01_316141_020_ML00082_002_c947;J205943.1-501908;314.92999717507917;-50.31910026402929;0.34187638759613037;0.007325366605073214;J205941.29-501810.3;314.9219;-50.3030;0;13.602;13.425;SB9287_island_96271;314.9161045;-50.3067361;0.000763081;17.73;5.390262321483863E43;5.390;2.178;7.568230759552426E43;2.787743517420796E14;2.788;882;0.0018158008748838932;0.028559754183383496;1;Very weak source;0;1;0;0
em01_330141_020_ML00047_009_c947;J215815.7-502329;329.5657112927826;-50.39143999672249;0.4956337809562683;0.007539714220911264;J215817.77-502352.7;329.5744;"-50.3977
";0;14.534;14.450;SB9287_island_31687;0;0;0.00075;17.6;1.6534989280455172E44;16.535;5.583;2.2117971072255193E44;5.606700955938472E14;5.607;1049;0.009650532973127884;0.10904239893329291;1;No corresponding radio source to BCG;1;1;0;0
em01_335141_020_ML00047_009_c947;J222000.0-522731;335.06335191036396;-52.48714979886061;0.12564565241336823;0.0058298842050135136;2MASX J22200853-5227489;335.0354835;-52.4637501;0.107965;12.171;12.128;0;335.0355000;-52.4638000;0.000438694;16.907;5.777673309690559E43;5.778;0.649;6.426888386424759E43;3.2232099811730706E14;3.223;1002;5.6392849382201514E-5;5.926463668910443E-4;1;Very weak source;0;1;0;0
em01_336138_020_ML00045_010_c947;J221959.2-482902;334.99687983714705;-48.48389694846957;0.8665209412574768;0.015985628589987755;0;0;0;0;0;0;SB9287_island_55604;0;0;0.00075;17.02;5.952081262835325E44;59.521;18.198;7.771892569806121E44;1.1092317353199208E15;11.092;1137;0.007684486595454242;0.10941722732798494;0;High redshift, Discuss;0;1;0;0
em01_336138_020_ML00047_010_c947;J222251.8-483423;335.7161413488663;-48.57327451264886;0.6519690173624292;0.0016230728069011374;[BRS2016] J222250.73-483435.5;335.7113;-48.5764;0.651220;14.851;14.813;SB9287_island_45668;335.7113000;-48.5764000;0.00047627;17.202;4.5465331476600325E44;45.465;12.511;5.7976459150891174E44;1.0407726249060209E15;10.408;1222.8409534974599;0.006630035874377216;0.07654346113040358;1;Very weak Source;0;1;0;0
