RANK,FAMILY,NOF_PACPRO
364,fareit,9
365,loadmoney,9
366,mewsspy,9
367,hesv,9
368,ausiv,9
369,spyeye,9
370,cyfin,9
371,elex,9
372,emotetu,9
373,copidmbe,8
374,amonetize,8
375,xorer,8
376,pirminay,8
377,bingoml,8
378,lulusoftware,8
379,speedbit,8
380,xihet,8
381,upatre,8
382,webalta,7
383,rescoms,7
384,dorv,7
385,ruskill,7
386,chapak,7
387,firseria,7
388,gamarue,7
389,hebchengjiu,7
390,scrop,7
391,tdss,7
392,virut,7
393,mokes,6
394,idsohtu,6
395,asparnet,6
396,pondfull,6
397,gorillaprice,6
398,shadowbrokers,6
399,babar,6
400,soulclose,6
401,swizzor,6
402,miancha,6
403,gamemodding,6
404,chir,6
405,lazy,6
406,fugrafa,6
407,arkeistealer,6
408,schoolboy,6
409,carberp,6
410,soul,6
411,browsefox,5
412,injects,5
413,scrarev,5
414,kuaiba,5
415,plugx,5
416,shade,5
417,wapomi,5
418,gamevance,5
419,phorpiex,5
420,taranis,5
421,locky,5
422,lydra,5
423,zenpak,5
424,lockbit,5
425,tenga,5
426,titirez,4
427,pioneer,4
428,kuluoz,4
429,startsurf,4
430,sality,4
431,systweak,4
432,protux,4
433,cosmu,4
434,zeroaccess,4
435,scarsi,4
436,remcos,4
437,icedid,4
438,outbyte,4
439,esfury,4
440,detrahere,4
441,cerbu,4
442,vbkryjetor,4
443,moleboxvs,4
444,omaneat,4
445,diss,4
446,dofoil,4
447,winactivator,4
448,betload,4
449,zapchast,4
450,necurs,4
451,gobot,4
452,filetour,4
453,shylock,3
454,filefinder,3
455,vprotect,3
456,msposer,3
457,installbrain,3
458,auslogics,3
459,dorifel,3
460,rozena,3
461,wannacry,3
462,vitro,3
463,tofsee,3
464,icloader,3
465,qihoo,3
466,fakefire,3
467,jaik,3
468,fraudpack,3
469,autinject,3
470,pelock,3
471,mbrlock,3
472,ainslot,3
473,downloadhelper,3
474,zurgop,3
475,glupteba,3
476,gepys,3
477,windigo,3
478,cobaltstrike,3
479,bobax,3
480,daws,2
481,cryptowall,2
482,kuaizip,2
483,trickbot,2
484,snojan,2
485,adpack,2
486,gandcrab,2
487,kolab,2
488,downloadadmin,2
489,swrort,2
490,sodinokibi,2
491,wonton,2
492,skintrim,2
493,kolovorot,2
494,techsnab,2
495,schoolgirl,2
496,gandcrypt,2
497,socelars,2
498,tufik,2
499,clipspy,2
500,explorerhijack,2
501,slugin,2
502,leivion,2
503,installiq,2
504,vkontaktedj,2
505,wajam,2
506,genericrxgb,2
507,cosmicduke,2
508,kuzitui,2
509,cambot,2
510,jatif,2
511,dstudio,2
512,emotet,2
513,bebloh,1
514,coinminerx,1
515,crossrider,1
516,regsup,1
517,bzub,1
518,shopper,1
519,buzus,1
520,gozi,1
521,simbot,1
522,vbinder,1
523,allaple,1
524,4shared,1
525,teslacrypt,1
526,istartsurf,1
527,ulise,1
528,convertad,1
529,deceptpcclean,1
530,sillyp2p,1
531,vittalia,1
532,bundlore,1
533,mywebsearch,1
534,stopcrypt,1
535,bayrob,1
536,mabezat,1
537,salgorea,1
538,neshta,1
539,ardamax,1
540,nymaim,1
541,berbew,1
542,trickster,1
543,componentbased,1
544,wlksm,1
545,blackshades,1
546,mint,1
547,malmaker,1
548,lethic,1
549,aitinject,1
550,installerex,1
551,havex,1
552,burden,1
553,virbox,1
554,screenmate,1
555,brresmon,1
556,malex,1
557,cjishu,1
558,broskod,1
559,goznym,1
560,hematite,1
561,softcnapp,1
562,FAMILY,0
563,mucc,0
564,lassorm,0
565,offergenerator,0
566,kovter,0
567,brook,0
568,hkcab,0
569,speedscan,0
570,qbot,0
571,grenam,0
572,keydoor,0
573,sypon,0
574,antavmu,0
575,coroxy,0
576,balrok,0
577,babonock,0
578,pacex,0
579,stormattack,0
580,drolnux,0
581,winner,0
582,pykspa,0
583,blackie,0
584,qaccel,0
585,aohk,0
586,virlock,0
587,primecasino,0
588,guloader,0
589,gamini,0
590,garrun,0
591,lipler,0
592,yandex,0
593,hpdefender,0
594,tougle,0
595,krol,0
596,lyposit,0
597,jpgiframe,0
598,downloadguide,0
599,pcmedic,0
600,offercore,0
601,inbox,0
602,disttrack,0
603,dalexis,0
604,plemood,0
605,wavipeg,0
606,trickpak,0
607,waldek,0
608,mailru,0
609,slimware,0
610,gigex,0
611,paneidix,0
612,gify,0
613,ruledor,0
614,enosch,0
615,lolbot,0
616,goldrv,0
617,bandoo,0
618,recodrop,0
619,adgazelle,0
620,relevantknowledge,0
621,bunitu,0
622,eyoorun,0
623,addlyrics,0
624,bcryptinject,0
625,speedlane,0
626,raccrypt,0
627,rifdoor,0
628,oberal,0
629,digs,0
630,fkjse,0
631,adposhel,0
632,khalesi,0
633,vkdj,0
634,netstream,0
635,dumpy,0
636,sinau,0
637,vybab,0
638,gogo,0
639,seraph,0
640,shadebot,0
641,mixer,0
642,ascentive,0
643,speedcat,0
644,pcspeedcat,0
645,multiplier,0
646,zylom,0
647,plurox,0
648,loskad,0
649,shiz,0
650,konus,0
651,neojit,0
652,umbra,0
653,virtu,0
654,ponystealer,0
655,stop,0
656,autog,0
657,cheatengine,0
658,hebogo,0
659,voltar,0
660,kronosbot,0
661,cuegoe,0
662,catalina,0
663,phishbank,0
664,rikihaki,0
665,megasearch,0
666,fakens,0
667,lassa,0
668,finfish,0
669,bactera,0
670,dostre,0
671,zepfod,0
672,contenedor,0
673,ezsoftwareupdater,0
674,copak,0
675,triusor,0
676,vanilloader,0
677,shodi,0
678,itorrent,0
679,tremp,0
680,swjoy,0
681,tisandr,0
682,nobady,0
683,apost,0
684,sn1995k,0
685,taskloader,0
686,gippers,0
687,blihan,0
688,mimail,0
689,pochi,0
690,xcnfe,0
691,seven,0
692,fakedoc,0
693,toptools,0
694,vawtrak,0
695,maener,0
696,anmalpro,0
697,liev,0
698,refinka,0
699,zard,0
700,neoreklami,0
701,qshell,0
702,dexel,0
703,rums,0
704,virfire,0
705,facido,0
706,elemental,0
707,spesr,0
708,eggnog,0
709,lollipop,0
710,pcacceleratepro,0
711,jimmy,0
712,asruex,0
713,hafen,0
714,imali,0
715,updane,0
716,vebzenpak,0
717,cycbot,0
718,agentc,0
719,gamup,0
720,neconyd,0
721,obit,0
722,reptile,0
723,vbclone,0
724,linkury,0
725,agentcrypt,0
726,powerspider,0
727,connectwise,0
728,packz,0
729,veil,0
730,crawler,0
731,imwee,0
732,nivdort,0
733,drstwex,0
734,amigo,0
735,burn,0
736,syncopate,0
737,agentino,0
738,aenjaris,0
739,macoute,0
740,dropware,0
741,wakme,0
742,tupym,0
743,atcpa,0
744,perion,0
745,miniduke,0
746,pterodo,0
747,mapsgory,0
748,inlog,0
749,tempedreve,0
750,webcompanion,0
