over,MeanAbsError,MeanAbsErrorLewis35,MeanAbsErrorLewisMean,MeanAbsErrorLewisMed,MedianAbsError,StdAbsError,MeanPercentAbsError,RMSE,Mean_absError_randForest,Mean_absError_ridgRegr,Mean_absError_knn
1,37.43555094,31.94282744,38.24428274,38.3024948,31.5,26.7914539,16,46.02669161,27.10855905,28.19602287,51.92047671
2,37.40478668,31.83662851,38.11550468,38.11550468,32,26.75193797,16,45.97868574,26.0362256,28.29791824,51.73861171
3,36.83350676,32.42247659,37.71800208,37.76170656,31,26.48071942,16,45.35643323,26.92537961,28.03576382,50.25661605
4,36.63475546,32.9635796,37.35171696,37.39958377,31,26.26088661,16,45.0668598,25.50238612,28.10951316,48.23546638
5,36.18938606,33.60978148,36.83870968,36.82830385,30,25.89810828,16,44.49365959,25.99208243,28.56698064,46.1845987
6,35.43704475,33.92403746,36.14984391,36.20707596,30,25.40251876,15,43.59358467,26.08752711,27.83146876,45.11529284
7,34.87721124,34.21540062,35.72008325,35.73569199,30,25.22258229,15,43.03413209,29.15401302,27.54947962,44.55130152
8,34.6930281,35.01873049,35.51925078,35.61290323,30,25.04550948,15,42.78119925,29.68893709,27.27087753,44.28817787
9,34.50468262,36.07908429,35.78459938,35.83975026,29,24.94561228,15,42.57005,28.26822126,27.07506538,43.05965293
10,34.51092612,36.23204995,35.8616025,35.98855359,29,24.99521069,15,42.60416017,28.73882863,26.76117323,42.6862256
11,34.2528616,36.50780437,35.72320499,35.87200832,29,24.8182467,15,42.29140522,28.3181128,26.21067054,43.09956616
12,33.93756504,36.46618106,35.68990635,35.78980229,29,24.60382452,15,41.91033986,27.09880694,25.95943165,41.69099783
13,33.73881374,36.68782518,35.6805411,35.87825182,29,24.33523342,15,41.59200526,27.61583514,25.77237303,42.28665944
14,33.30280957,36.65348595,35.57960458,35.68262227,29,24.55365898,14,41.36824804,26.91561822,25.46934875,41.42071584
15,33.15608741,36.84079084,35.47034339,35.68574402,29,24.61492152,14,41.28668079,27.86496746,25.3085231,40.2829718
16,33.04994797,36.88865765,35.34755463,35.58168574,29,24.57441086,14,41.17732775,29.13101952,25.27300071,38.64370933
17,32.91155047,37.02185224,35.5962539,35.76170656,29,24.65244836,14,41.11302661,27.57331887,24.89312488,37.7197397
18,32.25208333,36.31354167,35,35.14791667,28,24.20844904,14,40.31916934,26.88210412,24.31454967,38.34002169
19,32.12095933,36.19186653,34.80291971,34.97497393,27,24.3566911,14,40.30367004,26.91561822,24.0760766,38.72147505
20,31.96976017,36.25338895,34.54953076,34.79144943,27,24.28368618,14,40.13910899,27.67765727,23.8862414,38.53817787
21,31.44246862,36.0167364,34.07008368,34.2290795,27,23.34328016,14,39.1531298,26.91963124,24.11495355,38.53145336
22,31.20418848,35.93298429,33.96020942,34.0565445,27,23.35213042,13,38.96732421,24.44848156,23.89966721,38.329718
23,30.58761805,35.72927597,33.59916055,33.65162644,26,23.02197831,13,38.27607232,23.6478308,23.98217478,38.15184382
24,30.20798319,35.49789916,33.33088235,33.50105042,26,22.51287327,13,37.66721821,23.91691974,23.82966089,37.56138829
25,30.0685654,35.54324895,33.10654008,33.33333333,26,22.07041011,13,37.29219497,22.42136659,24.04565243,38.9345987
26,29.87936508,35.41164021,33.21904762,33.28888889,26,21.79702805,13,36.97815743,22.08611714,24.71199931,38.07744035
27,29.5864263,35.33297985,32.97242842,33.18239661,26,21.44743008,13,36.53575073,20.96887202,24.24081416,35.96507592
28,28.77659574,34.5712766,31.95531915,32.08829787,25,21.04321546,12,35.6432083,21.23626493,23.69796936,35.76145494
29,28.23447537,34.20770878,31.50642398,31.65203426,24,20.73152142,12,35.02172773,20.5606949,24.03516515,34.40781759
30,27.55651238,33.38643703,30.6555436,30.66523143,24,20.37935703,12,34.26707615,20.25246981,23.87575297,32.8597146
31,26.64832794,32.94606257,30.06040992,30.30097087,23,19.96793745,11,33.29296909,19.09068736,23.85857354,33.0981153
32,26.01092896,32.15409836,29.3420765,29.41748634,23,19.14255775,11,32.28940174,19.94433107,23.76389787,31.98219955
33,25.12582781,30.97682119,28.22516556,28.52980132,22,18.7372544,10,31.33694968,19.85269805,22.95200938,31.4543054
34,24.28667413,29.93840985,27.11198208,27.15005599,21,17.69385301,10,30.04270943,18.84322034,21.30762206,29.98995157
35,23.06349206,28.83673469,26.01814059,26.19614512,20,16.96750063,10,28.6268114,18.55821078,20.39643159,28.13651961
36,22.37587007,27.87006961,25.33062645,25.32830626,20,15.96810912,9,27.48389108,16.43883375,20.08541556,27.08449132
37,21.55111633,26.78848414,24.27849589,24.35957697,19,15.18282801,9,26.35712432,15.94776675,19.87617061,26.76650124
38,20.45323741,25.82733813,23.32014388,23.58633094,18,14.58627832,8,25.11651506,15.39291925,19.38353963,25.92881988
39,19.60246914,24.40617284,22.06419753,22.17407407,18,13.74336541,8,23.9354069,14.86323907,19.22841255,25.55681234
40,18.27918782,23.27918782,20.80837563,21.06472081,16,12.75129008,7,22.28267862,12.84683377,18.58477051,25.47361478
41,17.00930851,21.59308511,19.32978723,19.37632979,15,11.40145848,7,20.47283488,13.63564356,16.58054557,23.72574257
42,15.70514604,19.88178025,17.6216968,17.66342142,15,10.61136006,6,18.94982761,12.71397059,16.0734002,22.47117647
43,14.29496403,18.38273381,16.28633094,16.28920863,13,10.10824216,5,17.50358648,11.02948328,14.67528935,21.00547112
44,13.17272727,16.90606061,15.0469697,15.14242424,12,9.13532631,5,16.02649322,8.989672131,13.32413065,18.88737705
45,11.97377049,15.21967213,13.47540984,13.57868852,11,8.001598807,4,14.39763186,9.105820106,13.19213663,17.80987654
46,10.8036036,13.57297297,12.19099099,12.27567568,10,7.133284062,4,12.94256195,8.59980315,12.5539405,16.59645669
47,8.671487603,11.20247934,9.859504132,9.859504132,8,5.885865184,3,10.47695227,8.881573034,13.6188941,18.07258427
48,7.068965517,9.036945813,7.896551724,7.906403941,7,4.793016774,2,8.537370761,8.415920398,14.25165563,19.86243781
49,4.904024768,6.736842105,5.860681115,5.860681115,4,3.5271902,1,6.037550197,8.60310559,16.29574663,20.1515528
50,3.472081218,4.14213198,3.675126904,3.675126904,3,2.805876165,1,4.459632818,10.08173913,15.48826716,21.80782609
