x,p_linear,p_bwh,j_bwh,j_oh
1,0.13,0.12,0.004,0.002435477
2,0.15,0.14,0.0013,0.002931988
3,0.26,0.18,0.0017,0.010447068
4,1.255,0.34,0.0026,0.074120873
5,22.405,0.74,0.0044,0.663320842
6,613.845,3.03,0.0082,6.679210343
7,,18.77,0.0175,65.829365
8,,99.03,0.0405,654.3839444
9,,587.74,0.1117,
10,,4498.61,0.3652,
11,,,1.7528,
12,,,7.2554,
13,,,37.4112,
14,,,194.62,
15,,,1073.26,
