x,p_linear,p_bwh,j_bwh,j_oh
1,0.11,0.11,0.0017,0.004740307
2,0.115,0.12,0.0012,0.001882115
3,0.15,0.14,0.0015,0.002609421
4,0.29,0.2,0.002,0.004926123
5,2.11,0.31,0.003,0.013286697
6,82.905,1.22,0.0052,0.047707426
7,,6.55,0.0106,0.207508182
8,,30.38,0.0244,1.015595556
9,,164.9,0.0714,5.652229346
10,,937.16,0.2784,34.43310192
11,,,1.5183,206.0694098
12,,,6.9165,1280.363502
13,,,36.2844,
14,,,171.3107,
15,,,956.06,
