RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [66%@2187,100%@2187,100%@2187,75%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 2%@420 APE 150 MTS fg 5% bg 20% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@27C thermal@25.3C Tboard@27C GPU 619/531 CPU 1704/1195 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1889/1831
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [50%@2187,33%@2187,33%@2187,50%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 21%@420 APE 150 MTS fg 0% bg 22% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@27C thermal@25.3C Tboard@27C GPU 619/537 CPU 1858/1239 SOC 1239/1094 CV 0/0 VDDRQ 465/465 SYS5V 1929/1837
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [60%@2187,66%@2187,50%@2187,25%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 11%@420 APE 150 MTS fg 0% bg 9% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@27C thermal@25.3C Tboard@27C GPU 619/542 CPU 1858/1278 SOC 1239/1103 CV 0/0 VDDRQ 465/465 SYS5V 1929/1843
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1794,0%@1727,0%@1728,0%@1728,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 3% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 619/546 CPU 1703/1303 SOC 1239/1111 CV 0/0 VDDRQ 465/465 SYS5V 1929/1848
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1343,33%@1344,0%@1344,0%@1344,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 1% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 619/550 CPU 1704/1325 SOC 1239/1118 CV 0/0 VDDRQ 465/465 SYS5V 1929/1852
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@24.5C CPU@26.5C thermal@25.3C Tboard@27C GPU 619/554 CPU 1549/1337 SOC 1239/1125 CV 0/0 VDDRQ 465/465 SYS5V 1929/1856
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 3% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@24.5C CPU@26.5C thermal@25.3C Tboard@27C GPU 619/557 CPU 1549/1347 SOC 1239/1130 CV 0/0 VDDRQ 465/465 SYS5V 1929/1860
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 619/560 CPU 1549/1357 SOC 1239/1136 CV 0/0 VDDRQ 465/465 SYS5V 1929/1863
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 619/563 CPU 1394/1359 SOC 1239/1140 CV 0/0 VDDRQ 465/465 SYS5V 1929/1866
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 5% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 619/565 CPU 1394/1360 SOC 1239/1145 CV 0/0 VDDRQ 465/465 SYS5V 1929/1869
