RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,33%@1190,0%@1190,33%@1190,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 19% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.45C Tboard@26C GPU 619/531 CPU 1394/1228 SOC 1084/1117 CV 0/0 VDDRQ 465/465 SYS5V 1889/1868
RAM 4144/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,25%@1712,66%@1651,50%@1651,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 1%@318 APE 150 MTS fg 0% bg 28% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.45C Tboard@26C GPU 619/536 CPU 1394/1239 SOC 1084/1115 CV 0/0 VDDRQ 465/465 SYS5V 1929/1872
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [40%@2187,0%@2187,100%@2187,50%@2187,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 16%@318 APE 150 MTS fg 0% bg 42% AO@25C GPU@24.5C Tdiode@26.25C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/542 CPU 1549/1258 SOC 1239/1122 CV 0/0 VDDRQ 465/465 SYS5V 1929/1876
RAM 4144/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,0%@2187,100%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 5%@420 APE 150 MTS fg 0% bg 30% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/546 CPU 1548/1275 SOC 1239/1129 CV 0/0 VDDRQ 465/465 SYS5V 1929/1879
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,33%@2187,100%@2187,33%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 53% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/550 CPU 1703/1299 SOC 1239/1135 CV 0/0 VDDRQ 465/465 SYS5V 1929/1881
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,0%@2187,100%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 11%@420 APE 150 MTS fg 0% bg 63% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/554 CPU 1858/1328 SOC 1239/1141 CV 0/0 VDDRQ 464/464 SYS5V 1929/1884
RAM 4144/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,66%@2187,50%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 57% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/557 CPU 2013/1362 SOC 1239/1146 CV 0/0 VDDRQ 464/464 SYS5V 1969/1888
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,100%@2187,0%@2188,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 64% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/560 CPU 2013/1393 SOC 1239/1150 CV 0/0 VDDRQ 464/464 SYS5V 1969/1892
RAM 4143/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,100%@2187,33%@2188,33%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 11%@420 APE 150 MTS fg 0% bg 40% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/563 CPU 2168/1429 SOC 1239/1154 CV 0/0 VDDRQ 464/464 SYS5V 1969/1895
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2188,100%@2187,50%@2187,33%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 54% AO@25C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/565 CPU 2167/1461 SOC 1238/1158 CV 0/0 VDDRQ 464/464 SYS5V 1969/1899
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,100%@2187,33%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 61% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/567 CPU 2322/1497 SOC 1238/1161 CV 0/0 VDDRQ 464/464 SYS5V 2009/1903
RAM 4144/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,0%@2187,33%@2187,66%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 67% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/569 CPU 2477/1536 SOC 1238/1164 CV 0/0 VDDRQ 464/464 SYS5V 2009/1907
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1726,0%@1496,0%@1496,100%@1496,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 17% AO@25C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/571 CPU 2477/1572 SOC 1238/1167 CV 0/0 VDDRQ 464/464 SYS5V 2009/1911
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,0%@2187,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 10%@420 APE 150 MTS fg 0% bg 31% AO@24.5C GPU@24.5C Tdiode@26C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/573 CPU 2477/1605 SOC 1238/1170 CV 0/0 VDDRQ 464/464 SYS5V 2049/1916
