RAM 4140/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1495,0%@1496,0%@1496,0%@1495,off,off,off,off] EMC_FREQ 3%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25.5C thermal@24.3C Tboard@26C GPU 619/619 CPU 1548/1305 SOC 1239/1227 CV 0/0 VDDRQ 465/465 SYS5V 2009/1969
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 3%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 7% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 619/619 CPU 1394/1311 SOC 1239/1228 CV 0/0 VDDRQ 465/465 SYS5V 1969/1969
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 3%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 619/619 CPU 1394/1316 SOC 1239/1229 CV 0/0 VDDRQ 465/465 SYS5V 1969/1969
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 3%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 619/619 CPU 1394/1320 SOC 1239/1229 CV 0/0 VDDRQ 465/465 SYS5V 1969/1969
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 11% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 619/619 CPU 1239/1316 SOC 1239/1230 CV 0/0 VDDRQ 465/465 SYS5V 1969/1969
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 3% AO@25C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 619/619 CPU 1239/1312 SOC 1239/1230 CV 0/0 VDDRQ 465/465 SYS5V 1969/1969
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,25%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 5% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 620/619 CPU 1239/1308 SOC 1239/1231 CV 0/0 VDDRQ 465/465 SYS5V 1929/1967
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,33%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 7% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 620/619 CPU 1239/1305 SOC 1239/1231 CV 0/0 VDDRQ 465/465 SYS5V 1929/1965
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,50%@2187,50%@1192,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 6% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 620/619 CPU 1239/1302 SOC 1239/1231 CV 0/0 VDDRQ 465/465 SYS5V 1929/1963
RAM 4141/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 465/612 CPU 1084/1292 SOC 1239/1232 CV 0/0 VDDRQ 465/465 SYS5V 1929/1962
