RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 39%@318 APE 150 MTS fg 0% bg 4% AO@24.5C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 619/498 CPU 1394/1250 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1889/1865
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 5%@665 GR3D_FREQ 3%@318 APE 150 MTS fg 0% bg 1% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 620/506 CPU 1239/1249 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1889/1867
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 620/513 CPU 1239/1248 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1889/1868
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 9% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 620/519 CPU 1239/1248 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1889/1869
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [50%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 620/525 CPU 1084/1239 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1848/1868
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 6% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/521 CPU 1085/1231 SOC 1084/1084 CV 0/0 VDDRQ 465/465 SYS5V 1848/1867
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 7% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/519 CPU 1085/1223 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1848/1866
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 7% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/516 CPU 1085/1217 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1863
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,50%@1190,0%@1190,25%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 4% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/514 CPU 930/1204 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1861
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 7% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/512 CPU 930/1192 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1858
