MODEL,BERT_PT_AVG,BERT_PT_STD,BERT_FT_AVG,BERT_FT_STD,BART_PT_AVG,BART_PT_STD,BART_FT_AVG,BART_FT_STD
1,169.98,5.81,163.59,2.94,213.05,1.42,208.67,1.38
2,183.75,4.04,178.91,9.38,243.48,0.81,239.87,0.44
3,181.44,9.71,190.83,4.83,242.74,0.81,241.19,0.9
