MODEL,BERT_PT_AVG,BERT_PT_STD,BERT_FT_AVG,BERT_FT_STD,BART_PT_AVG,BART_PT_STD,BART_FT_AVG,BART_FT_STD
1,723,6.4,718.52,0.6,948.75,1.42,944.19,2.13
2,797.49,0.75,792.16,0.51,1083.69,0.95,1093.8,3.6
3,806.1,4.05,806.11,0.93,1088.83,5.8,1086.15,2.69
