MODEL,BERT_PT_AVG,BERT_PT_STD,BERT_FT_AVG,BERT_FT_STD,BART_PT_AVG,BART_PT_STD,BART_FT_AVG,BART_FT_STD
1,166.24,0.29,163.39,0.62,211.28,0.5,213.07,13.81
2,186.35,2.57,172.93,8.33,243.29,0.93,246.07,20.36
3,185.98,11.41,184.93,2.04,243.4,0.86,245.83,12.57
