Poles_Re, Poles_Im, Residues_Re, Residues_Im
-549.89,11027,1069.5,53.333
-514.54,6431.8,380.24,30.418
-472.49,11191,455.84,19.247
-497.85,6186.5,269.23,21.666
-437.83,9587.7,832.97,38.038
-478.72,42661,2219,24.901
-405.99,6131.8,334.08,22.12
-492.51,11734,319.05,13.391
-454.89,5635.1,274,22.118
-505.34,6231.6,267.27,21.674
-405.85,32371,3952.3,49.553
-511.02,21745,916.95,21.548
-458.6,7741.8,393.12,23.287
-515.5,5518,262.72,24.544
-546.55,5593.7,262.42,25.641
-488.07,8156.9,431.91,25.843
-532.63,5298.4,271.79,27.322
-447.78,7867.7,379.08,21.575
-599.72,15796,594.52,22.572
-448.58,10320,488.58,21.236
-588.17,10390,400.58,22.677
-443.44,6621.3,437.01,29.268
-499.51,8070.3,268.85,16.641
-564.24,5192.5,270.92,29.438
-543.32,10394,588.05,30.74
-541.12,10997,259.04,12.746
-488.09,30997,1161.4,18.288
-550.84,19123,1470.5,42.357
-583.99,28946,1401.9,28.284
-488.27,8483.4,471.36,27.13
-505.59,28291,3548.7,63.419
-413.21,5134,263,21.167
-478.15,5640.6,299.13,25.357
-493.45,45035,3890,42.622
-579.03,16437,1150,40.512
-422.11,11826,684.07,24.417
-546.23,15670,1433.1,49.954
-509.09,6189.8,305.24,25.106
-521.31,11352,662.25,30.412
-405.96,7673,265.08,14.025
-429.35,11770,414.65,15.125
-456.8,5537.1,282.52,23.307
-400.97,20297,293.26,5.7934
-533.83,5727.8,274.69,25.601
-574.05,14962,513.47,19.701
-509.39,7897.6,439.34,28.338
-508.63,8918.1,309.15,17.632
-523.15,8913.8,777.77,45.647
-460.44,17050,484.74,13.091
-473.35,13294,403.78,14.377
-514.99,20763,3860.6,95.755
-561.84,8190.9,407.29,27.938
-440.32,12538,541.13,19.003
-465.5,24557,306,5.8007
-548.58,16383,715.34,23.953
-468.18,12154,278.32,10.721
-409.52,13092,417.39,13.056
-431.27,11098,1112.1,43.214
-438.77,5950.4,313.07,23.086
-499.02,7423.2,395.93,26.616
-527.02,22288,2470,58.408
-576.04,8140.1,556.56,39.386
-580.51,8287.9,359.65,25.191
-461.43,8266.1,270.95,15.125
-550.68,39888,4962.1,68.505
-456.49,5227.3,255.64,22.325
-473.72,12107,613.12,23.99
-458.55,7018.7,256.39,16.75
-482.74,11705,400.33,16.511
-442.94,5772.4,298.54,22.908
-463.8,10054,419.48,19.351
-424.38,10771,386.59,15.232
-592.6,10295,778.1,44.789
-500.8,13328,411.53,15.463
-584.62,14202,327.86,13.497
-549.23,5820.6,288.88,27.259
-491.54,6542.3,325.81,24.479
-550.92,7554.5,350.56,25.565
-525.6,10096,286.94,14.938
-460.75,10440,701.17,30.945
-504.33,7427.1,363.77,24.702
-542.46,12017,522.65,23.593
-461.06,23027,605.33,12.12
-402.5,7993.1,567.83,28.594
-453.65,10899,579.5,24.12
-559.35,9559.1,711.21,41.616
-586,11560,390.12,19.776
-525.07,9423.3,544.98,30.366
-426.56,7475,256.38,14.63
-551.51,9323.7,360.28,21.311
-505.38,24791,1047.6,21.356
-550.77,13941,549.01,21.69
-571.72,23016,664.58,16.508
-589.51,9555,309.5,19.095
-530.91,6091.8,282.17,24.591
-570.85,6561.4,275.13,23.937
-548.52,7287.5,367.87,27.689
-545.42,37496,815.13,11.857
-571.76,11132,862.82,44.317
-584.6,7387.5,289.97,22.947
-580.42,12962,453.45,20.305
-479.15,11925,307.86,12.37
-416.8,13650,420.97,12.855
-565.91,6243.8,334.9,30.354
-507.79,6822.9,460.35,34.261
-508.42,5877.9,319.55,27.64
-565.04,10541,423.43,22.698
-406.4,8000.1,507.69,25.79
-575.59,10800,665.68,35.479
-406.93,16236,2177.7,54.581
-538.64,10939,611.21,30.096
-517.5,18046,1989.7,57.057
-528.35,5619,254.15,23.897
-474.82,27809,1123.4,19.181
-455.09,7357.7,304.41,18.828
-501.88,8431.3,283.7,16.888
-577.16,7521.2,355.12,27.251
-513.06,6615.1,423,32.807
-532.63,17054,1232,38.477
-488.28,10928,506.55,22.633
-594.43,9067.7,661.53,43.366
-548.5,11945,947.73,43.519
-470.98,9794.9,407.91,19.614
-530.71,10104,721.18,37.88
-508.52,7896.2,271.59,17.491
-576.81,12336,273.48,12.787
-455.01,13322,849.58,29.016
-421.61,20916,1609.3,32.439
-438.25,20411,1071.5,23.007
-477.41,7144.4,476.55,31.844
-570.81,6888,336.86,27.915
-454.17,12760,1008.9,35.911
-525.27,10723,875.25,42.873
-524.71,7158.3,291.01,21.331
-481.61,8847.4,561.73,30.578
-410.07,6475,393.17,24.9
-548.97,10267,919.18,49.147
-459.15,28530,1702.2,27.394
-479.69,12413,462.91,17.889
-475.45,20509,496.74,11.515
-532.72,11426,1281.8,59.764
-417.27,11914,390.19,13.666
-509.98,8052,441.07,27.935
-403.08,16593,372.34,9.0448
-596.61,23087,1334.6,34.489
-519.69,7857.8,327.25,21.643
-476.82,25293,958.05,18.061
-429.35,10465,460.08,18.877
-539.38,7462,314.06,22.701
-581.16,30704,3510.6,66.447
-463.62,10979,698.04,29.478
-553.3,7104.4,284.32,22.144
-457.5,8332.8,293.26,16.101
-591.45,7888.5,445.22,33.381
-540.46,6397.3,286.28,24.186
-525,6088.5,262.52,22.636
-586.15,7139.3,299.37,24.579
-453.81,8612.6,290.22,15.292
-584.72,16569,1738.5,61.35
-535.62,6287.1,373.84,31.848
-554.27,7489.6,348.02,25.756
-514.33,6341.9,397,32.196
-566.78,8094.6,308.78,21.621
-539.66,20017,3017.8,81.36
-429.32,19310,319.8,7.1102
-522.49,6552.5,335.51,26.753
-455.86,12456,842.56,30.837
-583.18,39283,849.72,12.614
-439.65,11065,384.21,15.266
-457.14,10876,661.32,27.797
-409.53,6291.5,309.88,20.171
-489.52,22914,527.61,11.271
-511.52,7406,315.02,21.757
-514.71,5553.8,252.28,23.381
-581.08,10557,745.74,41.047
-469.48,11986,1345.1,52.688
-489.51,15092,275.86,8.9478
-570.25,11882,442.88,21.255
-515.37,5241.9,256.15,25.183
-530.8,6990.9,381.81,28.99
-455.67,6353.4,251.45,18.035
-497.49,7210.9,439.55,30.325
-524.19,7081.7,454.46,33.639
-426.68,11978,1399.3,49.847
-406.58,8023.2,644.46,32.659
-422.68,42742,3337.4,33.004
-495.49,32488,1235.3,18.841
-404.81,16584,329.66,8.0468
-525.24,70366,3169.4,23.658
-419.52,8020.7,627.8,32.837
-450.19,14325,287.61,9.0391
-485.3,6428.1,353.09,26.657
-423.17,7093.2,353.91,21.113
-454.11,14572,1090.7,33.991
-404.22,11837,532.13,18.172
-597.01,10351,414.94,23.931
-522.31,9297.2,252.46,14.183
-475.67,10575,1025.8,46.142
-405.31,10878,876.13,32.643
-477.97,33465,835.94,11.939
-490.51,8177.4,327.8,19.663
-586.2,12745,516.39,23.751
-455.7,55663,2401.9,19.664
-522.96,7238.3,468.96,33.882
-533.03,11262,994.58,47.075
-437.19,9215,309.15,14.667
-501.15,9641.6,751.96,39.086
-557.3,30245,3279.7,60.432
-419.32,10897,407.32,15.673
-521.21,5588.8,293.55,27.376
-405.21,7866.5,606.85,31.26
-401.41,7729.7,327.93,17.03
-411.91,6981.5,466.78,27.54
-496.28,7026.1,443.34,31.315
-585.14,6900.7,260.02,22.048
-481.11,8705.8,307.21,16.978
-415.01,20668,3097.6,62.198
-572.27,8437.6,345.34,23.423
-503.86,9005.2,508.39,28.445
-463.79,5132.1,263.11,23.777
-592.61,11042,960.2,51.531
-587.65,14953,823.13,32.349
