x,y_ref_real,y_ref_imag,y_ref_abs
0,0,10.385,10.385
0.005,0.481,10.36,10.371
0.01,0.95459,10.286,10.33
0.015,1.4137,10.166,10.263
0.02,1.852,10.002,10.172
0.025,2.264,9.799,10.057
0.03,2.6455,9.5627,9.9219
0.035,2.9933,9.2985,9.7684
0.04,3.3056,9.0121,9.5992
0.045,3.5815,8.7092,9.4169
0.05,3.8212,8.3953,9.224
0.055,4.0256,8.0751,9.0229
0.06,4.1965,7.753,8.8159
0.065,4.3358,7.4327,8.6049
0.07,4.4459,7.1172,8.3917
0.075,4.5293,6.8091,8.1779
0.08,4.5886,6.5101,7.9648
0.085,4.6264,6.2219,7.7534
0.09,4.6451,5.9452,7.5447
0.095,4.6471,5.6809,7.3395
0.1,4.6343,5.4293,7.1382
0.105,4.6089,5.1904,6.9413
0.11,4.5726,4.9642,6.7492
0.115,4.527,4.7505,6.5621
0.12,4.4735,4.549,6.38
0.125,4.4133,4.3592,6.2032
0.13,4.3475,4.1807,6.0315
0.135,4.2771,4.0131,5.865
0.14,4.203,3.8557,5.7036
0.145,4.1257,3.7082,5.5473
0.15,4.0461,3.5699,5.3958
0.155,3.9645,3.4404,5.2492
0.16,3.8815,3.3193,5.1072
0.165,3.7973,3.206,4.9697
0.17,3.7125,3.1002,4.8367
0.175,3.6271,3.0014,4.7079
0.18,3.5415,2.9092,4.5832
0.185,3.4559,2.8233,4.4625
0.19,3.3703,2.7433,4.3457
0.195,3.285,2.669,4.2326
0.2,3.2,2.6,4.1231
0.205,3.1154,2.5361,4.0172
0.21,3.0313,2.477,3.9147
0.215,2.9477,2.4226,3.8155
0.22,2.8647,2.3726,3.7196
0.225,2.7823,2.3268,3.627
0.23,2.7004,2.2851,3.5375
0.235,2.6192,2.2473,3.4512
0.24,2.5386,2.2133,3.368
0.245,2.4586,2.183,3.2879
0.25,2.3792,2.1563,3.2109
0.255,2.3003,2.1331,3.1372
0.26,2.2221,2.1134,3.0666
0.265,2.1444,2.0971,2.9993
0.27,2.0672,2.0841,2.9355
0.275,1.9906,2.0745,2.8751
0.28,1.9145,2.0682,2.8183
0.285,1.839,2.0653,2.7654
0.29,1.7639,2.0658,2.7164
0.295,1.6894,2.0696,2.6716
0.3,1.6154,2.0769,2.6312
0.305,1.5419,2.0877,2.5954
0.31,1.4691,2.1022,2.5646
0.315,1.3968,2.1203,2.539
0.32,1.3252,2.1422,2.5189
0.325,1.2542,2.168,2.5047
0.33,1.1841,2.1979,2.4966
0.335,1.1149,2.232,2.495
0.34,1.0467,2.2705,2.5002
0.345,0.97971,2.3136,2.5125
0.35,0.91402,2.3614,2.5322
0.355,0.84989,2.4142,2.5595
0.36,0.78757,2.4722,2.5946
0.365,0.72735,2.5356,2.6379
0.37,0.66958,2.6047,2.6894
0.375,0.61466,2.6796,2.7492
0.38,0.56306,2.7606,2.8174
0.385,0.51531,2.8479,2.8941
0.39,0.47203,2.9417,2.9793
0.395,0.4339,3.0421,3.0729
0.4,0.40172,3.1492,3.1747
0.405,0.37636,3.2631,3.2847
0.41,0.35878,3.3836,3.4025
0.415,0.35006,3.5105,3.528
0.42,0.35133,3.6436,3.6605
0.425,0.3638,3.7824,3.7998
0.43,0.38876,3.9259,3.9451
0.435,0.42746,4.0734,4.0958
0.44,0.48118,4.2236,4.2509
0.445,0.55108,4.3749,4.4094
0.45,0.6382,4.5254,4.5702
0.455,0.74331,4.673,4.7318
0.46,0.86692,4.8153,4.8927
0.465,1.0091,4.9495,5.0513
0.47,1.1694,5.0728,5.2059
0.475,1.3469,5.1823,5.3545
0.48,1.5401,5.2752,5.4954
0.485,1.7467,5.3488,5.6268
0.49,1.9641,5.4008,5.7469
0.495,2.1891,5.4296,5.8543
0.5,2.4181,5.4341,5.9479
0.505,2.6475,5.4139,6.0265
0.51,2.8735,5.3693,6.0898
0.515,3.0926,5.3014,6.1375
0.52,3.3016,5.2119,6.1696
0.525,3.4978,5.1031,6.1868
0.53,3.679,4.9776,6.1896
0.535,3.8437,4.8382,6.1792
0.54,3.991,4.6877,6.1565
0.545,4.1203,4.5291,6.1229
0.55,4.2319,4.3649,6.0796
0.555,4.3262,4.1977,6.028
0.56,4.404,4.0296,5.9693
0.565,4.4662,3.8624,5.9047
0.57,4.5142,3.6976,5.8353
0.575,4.5492,3.5365,5.7621
0.58,4.5724,3.38,5.6861
0.585,4.5852,3.2288,5.6079
0.59,4.5887,3.0834,5.5284
0.595,4.5841,2.9442,5.4481
0.6,4.5724,2.8113,5.3675
0.605,4.5548,2.6847,5.2871
0.61,4.532,2.5644,5.2072
0.615,4.5048,2.4503,5.1281
0.62,4.4739,2.3423,5.05
0.625,4.44,2.24,4.9731
0.63,4.4037,2.1433,4.8976
0.635,4.3653,2.052,4.8236
0.64,4.3254,1.9657,4.7511
0.645,4.2842,1.8842,4.6802
0.65,4.2421,1.8072,4.611
0.655,4.1994,1.7345,4.5435
0.66,4.1562,1.6658,4.4776
0.665,4.1128,1.6009,4.4134
0.67,4.0694,1.5395,4.3508
0.675,4.026,1.4815,4.2899
0.68,3.9828,1.4266,4.2306
0.685,3.9399,1.3746,4.1728
0.69,3.8974,1.3254,4.1166
0.695,3.8554,1.2787,4.0619
0.7,3.8138,1.2345,4.0086
0.705,3.7728,1.1925,3.9567
0.71,3.7323,1.1526,3.9063
0.715,3.6925,1.1148,3.8571
0.72,3.6533,1.0788,3.8092
0.725,3.6147,1.0445,3.7626
0.73,3.5768,1.0119,3.7172
0.735,3.5395,0.98089,3.6729
0.74,3.5029,0.95129,3.6298
0.745,3.4669,0.92306,3.5877
0.75,3.4316,0.89612,3.5467
0.755,3.397,0.8704,3.5067
0.76,3.363,0.84581,3.4677
0.765,3.3296,0.8223,3.4297
0.77,3.2969,0.79981,3.3925
0.775,3.2648,0.77828,3.3563
0.78,3.2333,0.75765,3.3209
0.785,3.2024,0.73788,3.2863
0.79,3.1721,0.71892,3.2525
0.795,3.1423,0.70073,3.2195
0.8,3.1131,0.68326,3.1872
0.805,3.0845,0.66648,3.1557
0.81,3.0564,0.65035,3.1248
0.815,3.0288,0.63484,3.0946
0.82,3.0018,0.61991,3.0651
0.825,2.9752,0.60555,3.0362
0.83,2.9491,0.59171,3.0079
0.835,2.9235,0.57838,2.9802
0.84,2.8984,0.56552,2.9531
0.845,2.8737,0.55313,2.9265
0.85,2.8495,0.54116,2.9004
0.855,2.8257,0.52961,2.8749
0.86,2.8023,0.51846,2.8499
0.865,2.7794,0.50768,2.8254
0.87,2.7568,0.49726,2.8013
0.875,2.7347,0.48719,2.7777
0.88,2.7129,0.47744,2.7546
0.885,2.6915,0.468,2.7318
0.89,2.6704,0.45887,2.7095
0.895,2.6497,0.45002,2.6877
0.9,2.6294,0.44145,2.6662
0.905,2.6093,0.43314,2.6451
0.91,2.5897,0.42508,2.6243
0.915,2.5703,0.41727,2.6039
0.92,2.5512,0.40968,2.5839
0.925,2.5325,0.40232,2.5643
0.93,2.5141,0.39517,2.5449
