N, RMSE, Max
4,2.085,4.3717
6,1.0504,2.7178
8,0.73861,1.9048
10,0.52947,1.3873
12,0.33106,0.90165
14,0.23003,0.61658
16,0.155,0.41775
18,0.10284,0.27847
20,0.069779,0.18814
22,0.04679,0.12642
24,0.031399,0.08485
26,0.021144,0.057098
28,0.014194,0.038359
30,0.009538,0.025777
