x,y_ref_real,y_ref_imag,y_ref_abs
3700,3.2788,-2.1667,3.93
3710,2.7842,-2.9819,4.0796
3720,2.0518,-3.6689,4.2037
3730,1.1272,-4.151,4.3014
3740,0.079377,-4.3726,4.3733
3750,-1.009,-4.3038,4.4205
3760,-2.0507,-3.9423,4.4438
3770,-2.962,-3.3124,4.4435
3780,-3.67,-2.4624,4.4196
3790,-4.1198,-1.4614,4.3713
3800,-4.2798,-0.39283,4.2978
3810,-4.1477,0.65286,4.1987
3820,-3.7521,1.5896,4.0749
3830,-3.1506,2.3483,3.9295
3840,-2.4195,2.8891,3.7684
3850,-1.6388,3.2061,3.6006
3860,-0.87464,3.3233,3.4364
3870,-0.16931,3.2814,3.2858
3880,0.45978,3.1224,3.1561
3890,1.0121,2.8782,3.051
3900,1.4937,2.5676,2.9705
3910,1.9084,2.1993,2.9119
3920,2.2551,1.7774,2.8713
3930,2.5271,1.3061,2.8447
3940,2.7151,0.79334,2.8286
3950,2.8093,0.25085,2.8205
3960,2.8021,-0.30572,2.8188
3970,2.6887,-0.8582,2.8223
3980,2.4675,-1.3868,2.8305
3990,2.1405,-1.8703,2.8425
4000,1.7132,-2.2865,2.8571
