x,,y_real_alpha0.05,y_imag_alpha0.05,y_real_alpha0.1,y_imag_alpha0.1,y_real_alpha0.15,y_imag_alpha0.15,y_real_alpha0.2,y_imag_alpha0.2,y_real_alpha0.25,y_imag_alpha0.25
0.26,0,1.1723,-2.3674,2.1134,-2.2221,2.7261,-2.0208,3.0452,-1.8021,3.1577,-1.593
0.265,0,1.1631,-2.2592,2.0971,-2.1444,2.706,-1.9756,3.0246,-1.782,3.1384,-1.589
0.27,0,1.1564,-2.1517,2.0841,-2.0672,2.6889,-1.9306,3.0059,-1.7619,3.1203,-1.585
0.275,0,1.152,-2.0448,2.0745,-1.9906,2.6747,-1.886,2.9893,-1.7419,3.1034,-1.5808
0.28,0,1.1501,-1.9384,2.0682,-1.9145,2.6633,-1.8417,2.9746,-1.722,3.0878,-1.5766
0.285,0,1.1507,-1.8321,2.0653,-1.839,2.6549,-1.798,2.962,-1.7024,3.0733,-1.5725
0.29,0,1.1537,-1.7259,2.0658,-1.7639,2.6492,-1.7548,2.9512,-1.6831,3.06,-1.5685
0.295,0,1.1594,-1.6195,2.0696,-1.6894,2.6465,-1.7122,2.9424,-1.6643,3.0478,-1.5646
0.3,0,1.1677,-1.5129,2.0769,-1.6154,2.6465,-1.6704,2.9355,-1.6459,3.0368,-1.561
0.305,0,1.1788,-1.4057,2.0877,-1.5419,2.6494,-1.6295,2.9305,-1.6282,3.0269,-1.5577
0.31,0,1.1927,-1.2978,2.1022,-1.4691,2.6551,-1.5895,2.9272,-1.6112,3.018,-1.5547
0.315,0,1.2098,-1.1891,2.1203,-1.3968,2.6637,-1.5505,2.9258,-1.595,3.0102,-1.5522
0.32,0,1.23,-1.0792,2.1422,-1.3252,2.675,-1.5127,2.9261,-1.5796,3.0033,-1.5501
0.325,0,1.2537,-0.96811,2.168,-1.2542,2.6892,-1.4762,2.9281,-1.5652,2.9975,-1.5486
0.33,0,1.2812,-0.85552,2.1979,-1.1841,2.7061,-1.4411,2.9318,-1.5519,2.9925,-1.5476
0.335,0,1.3126,-0.74125,2.232,-1.1149,2.7259,-1.4075,2.937,-1.5398,2.9885,-1.5474
0.34,0,1.3484,-0.62508,2.2705,-1.0467,2.7484,-1.3756,2.9439,-1.5289,2.9853,-1.5478
0.345,0,1.3888,-0.5068,2.3136,-0.97971,2.7737,-1.3456,2.9522,-1.5193,2.9829,-1.549
0.35,0,1.4345,-0.38621,2.3614,-0.91402,2.8018,-1.3176,2.9619,-1.5112,2.9812,-1.5509
0.355,0,1.4858,-0.26308,2.4142,-0.84989,2.8326,-1.2918,2.973,-1.5047,2.9802,-1.5538
0.36,0,1.5434,-0.13722,2.4722,-0.78757,2.8661,-1.2684,2.9854,-1.4997,2.9798,-1.5575
0.365,0,1.608,-0.0084351,2.5356,-0.72735,2.9022,-1.2476,2.9989,-1.4965,2.98,-1.5622
0.37,0,1.6803,0.12346,2.6047,-0.66958,2.9408,-1.2296,3.0135,-1.4951,2.9806,-1.5678
0.375,0,1.7612,0.25862,2.6796,-0.61466,2.9819,-1.2146,3.0291,-1.4956,2.9817,-1.5745
0.38,0,1.8518,0.39715,2.7606,-0.56306,3.0254,-1.2029,3.0456,-1.4981,2.9832,-1.5822
0.385,0,1.9534,0.5391,2.8479,-0.51531,3.0711,-1.1948,3.0628,-1.5026,2.9849,-1.5909
0.39,0,2.0672,0.68445,2.9417,-0.47203,3.1188,-1.1904,3.0807,-1.5093,2.9868,-1.6008
0.395,0,2.1949,0.83306,3.0421,-0.4339,3.1684,-1.19,3.099,-1.5182,2.9889,-1.6118
0.4,0,2.3385,0.98462,3.1492,-0.40172,3.2197,-1.1939,3.1176,-1.5294,2.991,-1.6239
0.405,0,2.4999,1.1386,3.2631,-0.37636,3.2724,-1.2023,3.1365,-1.5429,2.9931,-1.6371
0.41,0,2.6817,1.2942,3.3836,-0.35878,3.3261,-1.2154,3.1553,-1.5588,2.995,-1.6515
0.415,0,2.8866,1.4502,3.5105,-0.35006,3.3807,-1.2336,3.1739,-1.5771,2.9968,-1.667
0.42,0,3.1179,1.6048,3.6436,-0.35133,3.4356,-1.2569,3.1922,-1.5977,2.9982,-1.6836
0.425,0,3.3791,1.7556,3.7824,-0.3638,3.4905,-1.2857,3.21,-1.6208,2.9993,-1.7014
0.43,0,3.674,1.8991,3.9259,-0.38876,3.545,-1.3199,3.227,-1.6463,2.9999,-1.7202
0.435,0,4.0068,2.0306,4.0734,-0.42746,3.5985,-1.3598,3.2431,-1.6742,3,-1.7401
0.44,0,4.3815,2.1439,4.2236,-0.48118,3.6505,-1.4054,3.258,-1.7044,2.9994,-1.761
0.445,0,4.8021,2.2306,4.3749,-0.55108,3.7004,-1.4566,3.2717,-1.7368,2.9981,-1.7829
0.45,0,5.2715,2.28,4.5254,-0.6382,3.7477,-1.5135,3.2838,-1.7714,2.996,-1.8057
0.455,0,5.7908,2.2787,4.673,-0.74331,3.7919,-1.5759,3.2942,-1.8081,2.9931,-1.8294
0.46,0,6.3582,2.2101,4.8153,-0.86692,3.8322,-1.6435,3.3028,-1.8467,2.9892,-1.854
0.465,0,6.9668,2.0553,4.9495,-1.0091,3.8682,-1.7161,3.3092,-1.8871,2.9843,-1.8792
0.47,0,7.6033,1.7938,5.0728,-1.1694,3.8992,-1.7934,3.3135,-1.9292,2.9783,-1.9052
0.475,0,8.2454,1.4063,5.1823,-1.3469,3.9248,-1.8748,3.3154,-1.9727,2.9713,-1.9318
0.48,0,8.8613,0.87843,5.2752,-1.5401,3.9445,-1.9598,3.3149,-2.0174,2.963,-1.9588
0.485,0,9.4103,0.20581,5.3488,-1.7467,3.9579,-2.0479,3.3117,-2.0633,2.9536,-1.9863
0.49,0,9.8469,-0.60047,5.4008,-1.9641,3.9646,-2.1384,3.3058,-2.1099,2.9429,-2.0142
0.495,0,10.128,-1.5109,5.4296,-2.1891,3.9644,-2.2307,3.2972,-2.1572,2.9309,-2.0423
