N, RMSE, Max
5,0.4486,0.67808
6,0.35101,0.64936
7,0.44784,0.67402
8,0.44944,0.68399
9,0.44157,0.66862
10,0.49194,1.1265
11,0.4365,0.6633
12,0.29182,0.57362
13,0.44497,0.65885
14,0.44706,0.65747
15,0.44595,0.65532
