x,y_ref_real,y_ref_imag,y_ref_abs
4772.5,-2.6863e-09,-4.988e-10,2.7322e-09
4775,-2.9231e-09,-5.4448e-10,2.9733e-09
4777.5,-3.1874e-09,-5.5125e-10,3.2348e-09
4780,-3.4713e-09,-5.0995e-10,3.5086e-09
4782.5,-3.7631e-09,-4.147e-10,3.7859e-09
4785,-4.0499e-09,-2.6436e-10,4.0585e-09
4787.5,-4.3199e-09,-6.2439e-11,4.3204e-09
4790,-4.5645e-09,1.8434e-10,4.5682e-09
4792.5,-4.7787e-09,4.6826e-10,4.8016e-09
4795,-4.9611e-09,7.8258e-10,5.0224e-09
4797.5,-5.1121e-09,1.1227e-09,5.2339e-09
4800,-5.2326e-09,1.4867e-09,5.4397e-09
4802.5,-5.3227e-09,1.8745e-09,5.6431e-09
4805,-5.3807e-09,2.288e-09,5.8469e-09
4807.5,-5.4024e-09,2.7294e-09,6.0527e-09
4810,-5.3808e-09,3.2006e-09,6.2608e-09
4812.5,-5.3058e-09,3.7021e-09,6.4697e-09
4815,-5.1645e-09,4.231e-09,6.6763e-09
4817.5,-4.9418e-09,4.7796e-09,6.8751e-09
4820,-4.6226e-09,5.3339e-09,7.0582e-09
4822.5,-4.194e-09,5.872e-09,7.216e-09
4825,-3.6496e-09,6.3652e-09,7.3372e-09
4827.5,-2.9932e-09,6.7795e-09,7.4108e-09
4830,-2.2415e-09,7.0811e-09,7.4274e-09
4832.5,-1.4239e-09,7.2421e-09,7.3808e-09
4835,-5.7902e-10,7.2461e-09,7.2692e-09
4837.5,2.5107e-10,7.0909e-09,7.0954e-09
4840,1.027e-09,6.7885e-09,6.8658e-09
4842.5,1.7175e-09,6.3621e-09,6.5898e-09
4845,2.3016e-09,5.8412e-09,6.2783e-09
4847.5,2.7701e-09,5.2569e-09,5.9421e-09
4850,3.1235e-09,4.638e-09,5.5917e-09
4852.5,3.369e-09,4.0073e-09,5.2353e-09
4855,3.5174e-09,3.3813e-09,4.8791e-09
4857.5,3.5798e-09,2.7704e-09,4.5266e-09
4860,3.5652e-09,2.1803e-09,4.179e-09
4862.5,3.4795e-09,1.6143e-09,3.8358e-09
4865,3.325e-09,1.0758e-09,3.4947e-09
4867.5,3.1011e-09,5.7011e-10,3.1531e-09
4870,2.8065e-09,1.0711e-10,2.8085e-09
